,Class,Distance,Name,ID
148,5,0.0048385402489009985,['Midwestern State University'],226833
149,5,0.005214582140188642,['SUNY College at Plattsburgh'],196246
150,6,6.486929413529375e-05,['Grand Valley State University'],170082
151,6,0.00014928965955122368,['Oregon State University'],209542
152,6,0.00017288803270100312,['Ball State University'],150136
153,6,0.00018447648563679886,['University of Oklahoma-Norman Campus'],207500
154,6,0.00026060944054579713,['Bowling Green State University-Main Campus'],201441
155,6,0.0002737632773769329,['Miami University-Oxford'],204024
156,6,0.0002755630782114978,['Texas Tech University'],229115
157,6,0.0003042531753741836,['Virginia Commonwealth University'],234030
158,6,0.0003113890720011373,['University of North Florida'],136172
159,6,0.0003365903711011312,['The University of Texas at Dallas'],228787
160,6,0.00034287282784734746,['Stony Brook University'],196097
161,6,0.00036782121036634544,['Kennesaw State University'],140164
162,6,0.0003838694949745902,['Arkansas State University-Main Campus'],106458
163,6,0.00038596362111057374,['Utah State University'],230728
164,6,0.0004370177133654725,['University of South Alabama'],102094
165,6,0.0004435267630190246,['West Virginia University'],238032
166,6,0.000481828619078426,['University of Toledo'],206084
167,6,0.0004885265102365917,['Eastern Michigan University'],169798
168,6,0.0005129544169677585,['Kent State University at Kent'],203517
169,6,0.0005148142815901276,['Mississippi State University'],176080
170,6,0.0005574185964855221,['University of Vermont'],231174
171,6,0.0006637872095876451,['University of Utah'],230764
172,6,0.0006768177232248352,['The University of Texas at Arlington'],228769
173,6,0.0007606643773012681,['University of Louisville'],157289
174,6,0.0007625698131302537,['California State University-Chico'],110538
175,6,0.000784742383980265,['Washington State University'],236939
176,6,0.0007943062288001139,['California Polytechnic State University-San Luis Obispo'],110422
177,6,0.0008133562307291756,['Georgia State University'],139940
178,6,0.0008411835079338825,['University of Cincinnati-Main Campus'],201885
179,6,0.000850557601211462,['University of Nebraska-Lincoln'],181464
180,6,0.0008532763876551125,['Indiana University-Purdue University-Indianapolis'],151111
181,6,0.0008561951901242386,['University of North Texas'],227216
182,6,0.000924153250712348,['The University of Tennessee-Knoxville'],221759
183,6,0.0009389961628347081,['University of Arkansas'],106397
184,6,0.0009662366360061707,['University of Wisconsin-Madison'],240444
185,6,0.0009842000459621772,['Oklahoma State University-Main Campus'],207388
186,6,0.0009904713948481845,['Louisiana State University and Agricultural & Mechanical College'],159391
187,6,0.0010170465531631956,['University of Virginia-Main Campus'],234076
188,6,0.0010264532955736288,['Florida Atlantic University'],133669
189,6,0.001047433139903551,['University of Mississippi'],176017
190,6,0.0010921606520405923,['Purdue University-Main Campus'],243780
191,6,0.0010950457540106525,['North Carolina State University at Raleigh'],199193
192,6,0.0011113135091993884,['University of Houston'],225511
193,6,0.0011285490529661581,['Texas A & M University-College Station'],228723
194,6,0.0011325301522014314,['University of North Carolina at Chapel Hill'],199120
195,6,0.0011656678510017756,['University of Alabama at Birmingham'],100663
196,6,0.001177380431523369,['California State Polytechnic University-Pomona'],110529
197,6,0.001215350531649076,['University of Colorado Boulder'],126614
198,6,0.0012443515960153804,['University of South Carolina-Columbia'],218663
199,6,0.0012784747129525188,['Colorado State University-Fort Collins'],126818
200,6,0.0013056085655791464,['University of Kentucky'],157085
201,6,0.0013280660726344526,['University of Missouri-Columbia'],178396
202,6,0.0013479289274359125,['San Francisco State University'],122597
203,6,0.0013494642311638505,['California State University-San Bernardino'],110510
204,6,0.0014775992598664467,['University of Iowa'],153658
205,6,0.0015029164039931679,['Iowa State University'],153603
206,6,0.0015827001411128638,['University of California-Santa Cruz'],110714
207,6,0.0015977556822384332,['Northern Arizona University'],105330
208,6,0.0016175499021460135,['University of South Florida-Main Campus'],137351
209,6,0.0016413648719113766,['California State University-Los Angeles'],110592
210,6,0.0016573308685962124,['Michigan State University'],171100
211,6,0.001659948386487221,['San Diego State University'],122409
212,6,0.0016657488925240094,['University of Washington-Seattle Campus'],236948
213,6,0.0016791985657487716,['University of Florida'],134130
214,6,0.0017249100206372665,['California State University-Fullerton'],110565
215,6,0.0017287121867223284,['University of Georgia'],139959
216,6,0.0017413401904049714,['Auburn University'],100858
217,6,0.0018163298315786423,['California State University-Long Beach'],110583
218,6,0.001838405691656161,['The University of Texas at Austin'],228778
219,6,0.0018762045642503624,['University of Minnesota-Twin Cities'],174066
220,6,0.0019010979203107935,['University of California-Riverside'],110671
221,6,0.0019082989310682153,['University of California-Santa Barbara'],110705
222,6,0.001986609157001488,['Ohio State University-Main Campus'],204796
