"g","delta","phi","Tui","R","ID"
991.621908273149,0.00294449728092635,5653,134525,-0.060077224,1
1699.65131054364,0.000463166649166299,11690,145280,-0.184692053,2
1027.49303105629,0.000694501859283552,6316,134309,-0.227973552,3
341.826303805646,0.0017073058051523,5840,186317,-0.100294204,4
1795.91217748026,-0.004114446569211,13497,150388,0.018007413,5
1512.57810418289,0.0012154725959342,9681,134787,-0.084983499,6
1730.36353623485,0.0023011645659699,16530,189729,-0.026289327,7
847.460177195715,0.00101255690490538,6622,162143,-0.149139054,8
900.447399536469,-0.00811854414979728,6867,183104,0.017937206,9
1358.54602481439,0.0012278596361218,12010,209906,-0.067812268,10
1125.41843069317,0.000443674408792759,11416,241572,-0.197433871,11
1406.97849669704,0.000668230403742682,14185,247779,-0.105498049,12
1639.80221114099,-0.000728945130263536,15152,193082,0.090538897,13
982.728365294334,-0.00205564583595858,8697,193360,0.055934819,14
-152.585095119573,0.00201839011451962,3686,143041,-0.134412469,15
843.405818379168,-0.00261285277524887,7406,181591,0.051677483,16
1573.75855175663,0.00179431325069683,11133,142671,-0.050059848,17
1503.24268546977,0.0006756450962329,15247,228065,-0.097072669,18
1130.45514229067,0.00134832592496328,10673,231523,-0.069489407,19
1626.18683709785,0.000880002451659374,14210,170191,-0.079969069,20
458.546741402201,0.00177706816709339,5338,163568,-0.105418624,21
1338.0355078867,0.00130865547838372,13636,245765,-0.056038652,22
1027.49303105629,0.000694501859283552,6316,134309,-0.227973552,23
341.826303805646,0.0017073058051523,5840,186317,-0.100294204,24
1737.22589656736,-0.00121422922775661,20250,220612,0.040670011,25
948.54363778955,0.00125067554771801,7103,163360,-0.112567631,26
-890.866113222679,0.000910407753005975,4681,241241,-0.234652622,27
1310.23033600526,0.00126345424200853,11718,207240,-0.067544033,28
1461.29240218185,0.00209888957063324,14328,242676,-0.033252541,29
610.275123996779,0.000568987890470678,7997,238793,-0.219770745,30
631.094070822292,0.0218831294543707,7065,184567,-0.006468125,31
1065.4550631493,0.00129817769809828,10565,216647,-0.072911554,32
1691.05744258694,-0.00292158448080618,18125,197976,0.018884415,33
666.206270465065,0.00157154903355364,7182,225643,-0.08859856,34
850.3937407176,0.00151689270986706,8015,223482,-0.08225108,35
0,0.00209521762672785,3265,105629,-0.146179905,36
-270.628859082604,0.0043841881446578,3148,111594,-0.07245629,37
-552.674189846857,-0.0120581046946929,3933,169868,0.021086136,38
836.450022294709,-0.000949980252025881,8538,159880,0.123290403,39
568.592529629297,-0.00251310925484789,8312,183546,0.047872168,40
71.0233027004585,0.00222067027201706,5101,163281,-0.088279649,41
444.927955003086,0.00126745949544629,6606,163311,-0.119433825,42
771.837926483889,0.00122801758369658,8969,186786,-0.090792796,43
1122.13688299827,-0.00125820950897345,12297,184219,0.06463204,44
-1.45689519935809,0.0016232304499884,4756,162743,-0.129532269,45
974.059473772708,-0.00187602828565043,9144,163158,0.058294073,46
810.540326946807,0.00123869669973743,10843,188761,-0.074453576,47
