"","Name","Class","g","delta"
"1","St Clair County Community College",0,1331.30540493576,1.08887936661395e-07
"2","Southern State Community College",0,465.713868017975,-6.70964396796165e-08
"3","Northeast Iowa Community College-Calmar",0,1554.49649353349,-9.39737283948339e-08
"4","New River Community College",0,1536.98737034463,3.88530908766892e-09
"5","Ridgewater College",0,1230.62575961349,-2.77351183744527e-08
"6","Herkimer County Community College",0,1141.95253874159,-2.23531608092078e-08
"7","St Charles Community College",0,1829.01508490951,NA
"8","Waukesha County Technical College",0,1991.94294120174,NA
"9","Whatcom Community College",0,1317.32844458724,6.22654000961504e-09
"10","Laramie County Community College",0,1501.99106659923,-4.48262185498278e-09
"11","Black River Technical College",0,249.116232614544,3.92869522076259e-08
"12","Wilkes Community College",0,637.776381456207,-1.71355600209249e-08
"13","Northeast Community College",0,1452.48721641318,-9.31159048618718e-09
"14","Raritan Valley Community College",0,1877.27944680263,NA
"15","Zane State College",0,971.456130962701,1.41730701455509e-08
"16","Blue Ridge Community College",0,990.982809209958,-1.98778341311688e-08
"17","Blue Ridge Community College",0,990.982809209958,4.16838301528603e-08
"18","Blue Ridge Community College",0,1344.32139249954,4.76133925812139e-09
"19","Blue Ridge Community College",0,1344.32139249954,2.95513070072665e-08
"20","Blue Ridge Community College",0,990.982809209958,-1.98778341311688e-08
"21","Blue Ridge Community College",0,990.982809209958,4.16838301528603e-08
"22","Blue Ridge Community College",0,1344.32139249954,4.76133925812139e-09
"23","Blue Ridge Community College",0,1344.32139249954,2.95513070072665e-08
"181","Lake Michigan College",0,1227.84330083977,-1.47391800861492e-08
"191","Vernon College",0,1517.77582481328,-5.91356865316318e-07
"201","Tunxis Community College",0,1378.32547675789,1.67337079821773e-08
"211","Hutchinson Community College",0,1725.24704083412,-7.56605673527999e-09
"221","Clover Park Technical College",0,1274.94573184815,2.79265746489495e-09
"231","Dyersburg State Community College",0,699.777524713002,8.25559134478531e-09
"24","McHenry County College",0,1783.13738444688,-4.16599385915206e-09
"25","Central Maine Community College",0,617.331767106037,1.15183296393484e-08
"26","Sussex County Community College",0,793.439791407749,-6.00293365979545e-09
"27","East Central College",0,987.757617407384,-1.52732907532515e-07
"28","Inver Hills Community College",0,1581.73929049808,-5.02542638319928e-08
