"","Name","Class","g","delta"
"1","Ohio State University Agricultural Technical Institute",0,-131.085720477495,-1.08033151626058e-07
"2","Rainy River Community College",0,-44.7158635052319,-1.19997984853941e-07
"3","Warren County Community College",1,158.024994304364,-2.19363809130696e-08
"4","Gogebic Community College",1,-741.884473590925,-3.14622324377473e-08
"5","Washington State Community College",1,24.8432450009155,-2.10199580787407e-08
"6","Mitchell Technical Institute",1,-539.692943170127,-1.01578318540157e-07
"7","North Country Community College",1,-55.1179261779952,-3.61629860597916e-08
"8","Texas State Technical College-West Texas",1,-663.043811275934,1.88142049122832e-08
"9","Lincoln Trail College",1,-303.533792101872,-4.84883361885015e-08
"10","Northern Maine Community College",1,-931.36657350386,-2.22227013710906e-07
"11","Nashua Community College",1,195.116995316048,4.95956233165752e-09
"12","Garrett College",1,-1261.28661877539,-2.30312368457485e-07
"13","Dabney S Lancaster Community College",1,-79.5372208436723,-2.34547036655457e-08
"14","Linn State Technical College",1,-967.93343785821,-5.21258850012548e-07
"15","Williston State College",1,-553.130537028549,1.37591017191884e-07
"16","Western Dakota Technical Institute",1,-1111.19547056497,3.58584930259807e-08
"17","York County Community College",1,-248.508565161319,-1.38572636759942e-08
"18","Clackamas Community College",3,213.325999925481,NA
"19","Minnesota State Community and Technical College",3,-376.091669566806,-1.36919859590941e-08
"20","Georgia Highlands College",3,-574.2316583374,2.22712441611199e-08
"21","Luzerne County Community College",3,-263.297933726214,9.74470715028535e-09
"22","Tri-County Technical College",3,-328.146488328032,-6.93872900507194e-08
"23","Reading Area Community College",3,-741.47932192875,3.51895273535421e-08
"24","College of Southern Idaho",3,40.7697633054354,-8.65318492637024e-09
"25","John Tyler Community College",3,172.970948279946,NA
"26","Genesee Community College",3,-277.745915152015,-5.99080302043479e-09
"27","Iowa Western Community College",3,-213.294771339182,-1.67933622271556e-08
"28","Finger Lakes Community College",3,-154.886235677494,-5.85664551858732e-09
"29","Niagara County Community College",3,-379.290030094292,-9.9829560585321e-09
"30","Iowa Central Community College",3,-529.306699239535,-1.28483797410496e-08
"31","Parkland College",3,454.179807753379,NA
"32","Yakima Valley Community College",3,-1007.70185104723,6.01409090167016e-09
"33","Community College of Aurora",3,101.706018764905,2.4951062809339e-09
"34","Howard Community College",3,161.757546204597,NA
"35","Jefferson College",3,-563.981891356782,-4.43384314367642e-08
"36","Virginia Western Community College",3,69.9541405391921,NA
"37","Crowder College",3,-621.023472514082,-1.43886689056664e-08
"38","Moberly Area Community College",3,-266.177661808264,-3.58121678149007e-08
"39","Rose State College",3,-26.470984586058,NA
"40","Southwest Texas Junior College",3,-501.398491435667,5.23841619533524e-09
"41","Highline Community College",3,-193.590709331044,NA
"42","John A Logan College",3,289.737438121471,NA
"43","Dutchess Community College",3,193.708355428791,NA
"44","Burlington County College",3,265.934245341602,NA
"45","Roane State Community College",3,-494.604486520944,6.90945177851682e-09
"46","Hocking College",3,-919.654747465729,-1.29901696282262e-08
"47","Black Hawk College",3,-71.0137592956362,-1.87133766368004e-08
"48","North Hennepin Community College",3,-134.143872249296,6.5622490860794e-09
"49","Southern Maine Community College",3,-326.395934196081,5.18548697635754e-09
"50","Southern Union State Community College",3,-762.195391674236,4.90239665025579e-09
"51","James H Faulkner State Community College",3,-866.927834565178,1.53233925276951e-07
"52","Three Rivers Community College",3,-1122.6029870876,9.16344619735341e-09
"53","Three Rivers Community College",3,-436.936259836961,5.17092569584728e-09
"54","Three Rivers Community College",3,-1122.6029870876,2.89563218875267e-09
"55","Three Rivers Community College",3,-436.936259836961,2.6486616227017e-09
"56","Three Rivers Community College",3,-1122.6029870876,9.16344619735341e-09
"57","Three Rivers Community College",3,-436.936259836961,5.17092569584728e-09
"58","Three Rivers Community College",3,-1122.6029870876,2.89563218875267e-09
"59","Three Rivers Community College",3,-436.936259836961,2.6486616227017e-09
"541","Northwest-Shoals Community College",3,-858.295019466185,2.32828932396573e-08
"551","Clark State Community College",3,-519.125602684831,8.68644994552118e-09
"561","Ocean County College",3,175.372920247744,NA
"571","Anoka-Ramsey Community College",3,177.452683802166,NA
"581","Pierce College at Fort Steilacoom",3,75.0850960551223,NA
"591","Gloucester County College",3,-20.4385186867546,1.96448554846459e-09
"60","Illinois Central College",3,221.421589966658,NA
"61","Normandale Community College",3,114.113012819765,NA
"62","Northeast State Community College",3,-645.153044194974,1.71338348592067e-08
"63","Eastern Iowa Community College District",3,73.5864564704308,NA
"70","Manchester Community College",3,-202.721351140572,5.07227570831867e-08
"71","Manchester Community College",3,-202.721351140572,4.06570705641148e-09
"72","Manchester Community College",3,-202.721351140572,5.07227570831867e-08
"73","Manchester Community College",3,-202.721351140572,4.06570705641148e-09
"66","Temple College",3,-625.499024194756,3.31285037269398e-09
"67","Leeward Community College",3,109.329260863384,1.25765800386682e-08
"68","Mineral Area College",3,-795.849217550407,-5.84862576057218e-08
"69","Bucks County Community College",3,371.389884502429,NA
"701","SUNY Broome Community College",3,-481.700925598916,-1.06311845053712e-08
"711","National Park Community College",3,-1345.08480853801,2.54664964622014e-08
"721","Massasoit Community College",3,-77.3894409192089,8.12641284590772e-09
"731","Allegany College of Maryland",3,-1497.35838904296,-7.09851454935181e-08
"74","York Technical College",3,-798.223020428186,6.96475863888374e-09
"75","Naugatuck Valley Community College",3,-317.229881897104,6.61916765083608e-09
"76","Spartanburg Community College",3,-614.03555017565,6.78753863786372e-09
"77","Everett Community College",3,286.121779729771,NA
"78","State Fair Community College",3,-833.335220070959,1.1856469170746e-07
"79","NorthWest Arkansas Community College",3,-119.462436596886,NA
"80","Northern Oklahoma College",3,-400.424662451022,-2.57940181847924e-08
"81","Community College of Vermont",3,113.807562405899,NA
"82","Central Ohio Technical College",3,-554.437420250418,4.78439836821723e-09
"83","Columbia State Community College",3,-349.621029752928,5.0064498902072e-08
"84","Volunteer State Community College",3,-146.75232601715,NA
"85","Rochester Community and Technical College",3,-138.052505757671,-1.20721075320462e-08
"86","Lakeland Community College",3,-105.883266078856,NA
"87","George C Wallace State Community College-Hanceville",3,-852.63940258128,3.75456265343884e-09
"88","Delaware Technical Community College-Stanton/Wilmington",3,48.1488132896347,9.01772868254502e-09
"89","Asheville-Buncombe Technical Community College",3,-154.198954887991,NA
"90","Mount Wachusett Community College",3,-456.617107973354,1.52861998331234e-07
"99","Three Rivers Community College",3,-1122.6029870876,9.16344619735341e-09
"100","Three Rivers Community College",3,-436.936259836961,5.17092569584728e-09
"101","Three Rivers Community College",3,-1122.6029870876,2.89563218875267e-09
