"","Name","Class","g","delta"
"1","Black Hills State University",0,593.383305658099,-5.37457542730921e-09
"2","Indiana University-East",0,520.950277025425,-8.58580820990105e-09
"3","University of Akron Main Campus",1,-343.444924786505,NA
"4","University of Memphis",1,-660.224751267582,NA
"5","Ball State University",1,-788.162439072997,NA
"6","California State University-Chico",1,-1563.66199916633,3.24526665222448e-08
"7","East Carolina University",1,-92.1865516330436,NA
"8","Middle Tennessee State University",1,-239.319155581628,NA
"9","University of Southern Mississippi",1,-1453.87052006884,NA
"10","University of North Carolina at Charlotte",1,26.3847324231183,NA
"11","Towson University",1,-288.101856813449,NA
"12","University of Nevada-Las Vegas",1,255.733225234386,NA
"13","Missouri State University-Springfield",1,-254.985308433156,NA
"14","Eastern Kentucky University",1,-875.957421829875,NA
"15","Kennesaw State University",1,133.628512113365,NA
"16","Southern Illinois University-Carbondale",1,-734.037098769867,NA
"17","Murray State University",1,-2243.35589259248,-2.72488145297978e-06
"18","University of North Florida",1,-682.351257328887,NA
"19","Louisiana Tech University",3,-29.2828751210964,-8.64668771897832e-08
"20","Texas A & M University-Commerce",3,214.872446821606,NA
"21","Southern Illinois University-Edwardsville",3,464.905672873629,NA
"22","Jacksonville State University",3,-620.264768418655,3.70205947528178e-07
"23","Northern Illinois University",3,1115.59783533854,NA
"24","University of Northern Colorado",3,411.494187745287,NA
"25","Georgia Institute of Technology-Main Campus",3,1171.37957498294,NA
"26","University of Wyoming",3,335.744907560057,NA
"27","Austin Peay State University",3,-143.272973290665,NA
"28","University of North Carolina Wilmington",3,391.065244041156,NA
"29","Central Washington University",3,267.10444265502,NA
"30","Southeast Missouri State University",3,293.577568418927,NA
"31","Central Connecticut State University",3,333.545046184047,-4.55928566151553e-09
"32","New Jersey Institute of Technology",3,-351.810991726752,NA
"33","The University of West Florida",3,298.744346512944,NA
"34","College of Charleston",3,378.566285570119,NA
"35","College of William and Mary",3,-1201.28642829433,NA
"36","Arkansas Tech University",3,-105.251562938958,1.17280969171923e-08
"37","Northwestern State University of Louisiana",3,-118.930981103455,3.55511293600981e-08
"38","University of West Georgia",3,392.536475478523,-5.84428193839407e-08
"39","Texas Woman's University",3,497.383366347092,NA
"40","Cleveland State University",3,781.410850990637,NA
"41","Tennessee Technological University",3,225.03599716508,NA
"42","Missouri University of Science and Technology",3,-1528.93153427472,1.46814309351365e-08
"43","Columbus State University",3,-274.726561050509,2.01151860326919e-07
"44","Florida Gulf Coast University",3,164.301999866926,NA
"45","Tarleton State University",3,352.146168399448,NA
"46","University of Minnesota-Duluth",3,217.07098531776,NA
"47","Humboldt State University",3,-1729.0724834834,-7.66118568549215e-09
"48","Western Washington University",3,210.467228676808,NA
"49","Sonoma State University",3,-311.148328423484,-1.36534102231236e-08
"50","Truman State University",3,-1500.10825271447,-5.80239937771059e-09
"51","Morehead State University",3,-447.655377333645,NA
"52","University of Arkansas at Little Rock",3,-28.0205151143136,8.387581238029e-09
