"g","delta","phi","Tui","R","ID"
991.621908273149,0.00294449725992128,5653,134525,0.105135142749999,1
1699.65131054364,0.000463166649202644,11690,145280,0.299852980141176,2
1027.49303105629,0.000355739094173576,6316,134309,0.47734382889313,3
1027.49303105629,0.000694501857987888,6316,134309,0.318714868132678,4
341.826303805646,0.00170730579791229,5840,186317,0.140214747710074,5
341.826303805646,0.00053950550312885,5840,186317,0.340405291534351,6
1795.91217748026,-0.00411444650618032,13497,150388,-0.0323352931888545,7
1512.57810418289,0.00121547259607106,9681,134787,0.166775129474179,8
1730.36353623485,0.00230116456364601,16530,189729,0.054135652920274,9
847.460177195715,0.00101255690593952,6622,162143,0.237052601378947,10
900.447399536469,-0.00811854418412225,6867,183104,-0.0355608243321672,11
1358.54602481439,0.00122785963931223,12010,209906,0.119491778383065,12
1125.41843069317,0.000443674409328894,11416,241572,0.306255689291338,13
1406.97849669704,0.000668230405528119,14185,247779,0.224560132271429,14
1639.80221114099,-0.000728945130000713,15152,193082,-0.221290548864361,15
982.728365294334,-0.00205564583283495,8697,193360,-0.111518582820084,16
-152.585095119573,0.00201839010951416,3686,143041,0.171590386382978,17
843.405818379168,-0.00261285275385049,7406,181591,-0.0941835363412969,18
1573.75855175663,0.0017943132567483,11133,142671,0.088004755319635,19
1503.24268546977,0.000675645099618946,15247,228065,0.189036249210526,20
1130.45514229067,0.00134832591800129,10673,231523,0.114609926657534,21
1626.18683709785,0.000880002446480889,14210,170191,0.1673198992,22
458.546741402201,0.00177706816590625,5338,163568,0.152749434877551,23
1338.0355078867,0.00130865548557601,13636,245765,0.0976037443377479,24
1027.49303105629,0.000355739094173576,6316,134309,0.47734382889313,25
1027.49303105629,0.000694501857987888,6316,134309,0.318714868132678,26
341.826303805646,0.00170730579791229,5840,186317,0.140214747710074,27
341.826303805646,0.00053950550312885,5840,186317,0.340405291534351,28
1737.22589656736,-0.00121422922656089,20250,220612,-0.102833350699367,29
948.54363778955,0.00125067555239609,7103,163360,0.15345542464574,30
-890.866113222679,0.000910407751712706,4681,241241,0.319980848636363,31
1310.23033600526,0.00126345424765706,11718,207240,0.109459655826242,32
1461.29240218185,0.00209888954358198,14328,242676,0.0581919474999992,33
610.275123996779,0.000568987890581083,7997,238793,0.278574268608108,34
631.094070822292,0.0218831292410143,7065,184567,0.011487390112,35
1065.4550631493,0.00129817770542733,10565,216647,0.126815036785992,36
1691.05744258694,-0.00292158440524178,18125,197976,-0.0446029252082711,37
666.206270465065,0.00157154903927554,7182,225643,0.132764004833836,38
850.3937407176,0.00151689270919152,8015,223482,0.130549679360465,39
0,0.00209521763295335,3265,105629,0.222643239261539,40
-270.628859082604,0.00438418815091089,3148,111594,0.103643997286957,41
-552.674189846857,-0.0120581048721637,3933,169868,-0.0407665289999997,42
836.450022294709,-0.000949980254324874,8538,159880,-0.334756852905064,43
568.592529629297,-0.00251310926019999,8312,183546,-0.134567496347562,44
71.0233027004585,0.00222067026826258,5101,163281,0.138194777873832,45
444.927955003086,0.00126745949218555,6606,163311,0.19795050675926,46
771.837926483889,0.00122801759002766,8969,186786,0.192218981531532,47
1122.13688299827,-0.00125820951113648,12297,184219,-0.2077458425,48
-1.45689519935809,0.00162323044378594,4756,162743,0.185179706570398,49
974.059473772708,-0.00187602828237441,9144,163158,-0.172608337021275,50
810.540326946807,0.00123869669834131,10843,188761,0.178938846722689,51
678.506537387839,-0.0066496392897831,8409,185681,-0.0329699636871516,52
1132.51763659755,-0.00252462568658756,4228,149706,-0.189791998017241,53
1132.51763659755,-0.00143910770530616,4228,149706,-0.388581259767442,54
212.315111235298,0.0815998337228926,5086,159380,0.00488139827586255,55
212.315111235298,-0.00288057116439962,5086,159380,-0.16138202635659,56
25.0294517303739,-0.00275160371016251,6379,211822,-0.118137383035533,57
-223.987920107744,0.00134321939423573,4480,162343,0.209464611817365,58
789.797963518609,-0.00116624553921289,9513,199132,-0.198114473244444,59
666.938284044088,-0.00117511398919065,8667,196153,-0.222883061350001,60
1070.82876811484,0.00309431761323664,9292,150952,0.0597497517435898,61
565.394169101811,-0.00195970417822195,7972,196305,-0.153380462415095,62
425.558596511272,0.00180555679338844,8257,207859,0.101685851726027,63
792.222795717379,0.000849178600505208,11600,241794,0.194576129166667,64
1058.79721201587,0.00196830289903107,14197,186517,0.0867581617731089,65
1558.46746872268,0.000687315203634259,22619,152618,0.118387077300613,66
797.931873178953,0.00490800794627658,11482,229912,0.0360750993956046,67
1138.39255462489,-0.00137698285808946,12984,194659,-0.128340864434108,68
924.245680509348,0.000376839404652201,9914,191826,0.352272188976224,69
488.067091222749,0.0265689444600177,6245,173810,0.0124273473140505,70
858.580385060742,0.00229189885025091,6569,136963,0.121700379716129,71
319.185175001347,0.00077819186471759,7844,234901,0.259155537853107,72
148.834981645696,-0.0107772043708769,5533,184269,-0.030072139919753,73
299.531155001129,0.00390500653586,7676,227912,0.0523576532658819,74
1158.01019912158,0.000145212809296155,14397,212625,0.50355772665367,75
