"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Oklahoma Technical College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20394,NA,NA,NA,NA,NA,19785,22777,NA,NA,NA,NA,0.6316,NA,NA,11609,128.8836985,0.485061511,NA,0.558442857,24100,0.316804409,0.796380090497738
"Oklahoma Wesleyan University",3,0,410,520,430,560,400,500,465,495,450,18,24,16,24,17,24,NA,NA,21,20,21,NA,981,981,NA,21260,NA,NA,NA,NA,NA,19262,20079,19186,24740,26344,0.5036,NA,NA,NA,23166,257.1900903,0.813988095,0.502087967,NA,44000,0.737957597,0.222222222222222
"Old Dominion University",3,0,460,560,470,570,NA,NA,510,520,NA,18,23,17,23,17,24,NA,NA,21,20,21,NA,1016,1016,14174,NA,9852,10915,14473,18101,18536,NA,NA,NA,NA,NA,0.7956,NA,0.5,NA,23867,264.9726274,0.800169635,0.502152581,NA,43300,0.684476316,0.25642523364486
"Old Town Barber College-Topeka",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15077,NA,NA,NA,NA,NA,15077,NA,NA,NA,NA,NA,0.1538,NA,NA,13500,149.877675,0.209302326,NA,NA,NA,NA,1
"Old Town Barber College-Wichita",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14133,NA,NA,NA,NA,NA,14133,NA,NA,NA,NA,NA,0.8462,NA,NA,13500,149.877675,0.209302326,NA,0.865852439,16500,0.25,1
"Oliver Finley Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13841,NA,NA,NA,NA,NA,13084,12703,15933,17608,17608,NA,0.7568,NA,NA,6211,68.95483255,0.567567568,NA,0.9646,NA,NA,0.581818181818182
"Olivet College",3,0,370,420,420,480,NA,NA,395,450,NA,17,22,15,22,17,22,NA,NA,20,19,20,NA,927,927,NA,18341,NA,NA,NA,NA,NA,16117,16283,17845,20619,23165,0.6397,NA,0.5,NA,27000,299.75535,0.729166667,0.429703448,NA,34100,0.516431928,0.337209302325581
"Olivet Nazarene University",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,27,21,28,20,27,NA,NA,24,25,24,NA,1105,1105,NA,20015,NA,NA,NA,NA,NA,16051,16657,18482,21803,23457,0.7541,NA,0,NA,25250,280.3267625,0.857539958,0.569716014,NA,37700,0.617700756,0.166051660516605
"Olney Central College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055,NA,-955,798,2829,5120,5143,NA,NA,NA,NA,NA,NA,0.687,NA,0.3182,5250,58.2857625,0.722943723,NA,0.422192,28200,0.425490201,0.426666666666667
"Olympian University of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16499,NA,NA,NA,NA,NA,16477,20153,20153,20153,NA,NA,0.6602,NA,NA,12433.5,138.0373387,0.473009447,NA,0.542899949,16600,0.283540815,0.994124559341951
"Olympic College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6056,NA,5143,6844,8172,10989,10989,NA,NA,NA,NA,NA,NA,NA,NA,NA,11000,122.12255,0.660332542,0.252562564,NA,30200,0.5090909,0.708520179372197
"Omaha School of Massage and Healthcare of Herzing University",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20988,NA,NA,NA,NA,NA,20039,18763,23080,23255,23635,NA,0.7586,NA,1,22822,253.3709851,0.474266474,NA,0.626633333,42300,0.596551716,0.44
"Omega Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19906,NA,NA,NA,NA,NA,19091,19917,20893,24593,24593,NA,0.8,NA,0.8571,7885,87.53966425,0.301369863,NA,0.756869412,23100,0.368983954,0.56
"Omega Institute of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11954,NA,NA,NA,NA,NA,11189,10474,NA,14859,15999,NA,0.9091,NA,NA,5085,56.45392425,0.872340426,NA,0.819677049,NA,NA,0.642857142857143
"Omega Studios' School of Applied Recording Arts & Sciences",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6667,6417,71.24185485,NA,NA,NA,NA,NA,NA
"Omnitech Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19246,NA,NA,NA,NA,NA,18844,20181,21301,NA,NA,NA,0.7826,NA,NA,9500,105.469475,0.097777778,NA,0.716132031,NA,0.360759497,0.746938775510204
"Onondaga Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12064,NA,10889,11722,13412,14496,14739,NA,NA,NA,NA,NA,NA,0.5416,NA,0.4522,10500,116.571525,0.640824072,NA,0.211330887,32100,0.49387911,0.490761271249076
"Onondaga Cortland Madison BOCES",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8703,NA,7935,8075,9372,12353,12829,NA,NA,NA,NA,NA,NA,0.8904,NA,NA,6876,76.3376958,0.691528545,NA,0.854798802,34000,0.554662406,0.584415584415584
"Onondaga School of Therapeutic Massage-Rochester",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20368,NA,NA,NA,NA,NA,20368,NA,NA,NA,NA,NA,0.6667,NA,1,8769,97.35387645,0.740740741,NA,NA,NA,NA,1
