"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"A & W Healthcare Educators",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A T Still University of Health Sciences",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199600,0.980769217,NA
"Aaniiih Nakoda College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9530,NA,10517,5024,3359,NA,NA,NA,NA,NA,NA,NA,NA,0.5439,NA,0.6667,NA,NA,NA,NA,0.402581818,20300,0.206349209,0.840909090909091
"Aaron's Academy of Beauty",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9385,NA,NA,NA,NA,NA,9157,10361,11777,NA,NA,NA,0.5789,NA,1,NA,NA,0.405405405,NA,0.763168421,NA,0.274509817,0.842105263157895
"ABC Beauty Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248,NA,NA,NA,NA,NA,5377,5933,3533,NA,NA,NA,0.4286,NA,NA,NA,NA,NA,NA,0.954842938,NA,NA,0.8
"ABC Beauty College Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4923,NA,NA,NA,NA,NA,4923,NA,NA,NA,NA,NA,0.5455,NA,NA,16500,183.183825,0.236842105,NA,0.608717391,NA,NA,1
"Abcott Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11320,NA,NA,NA,NA,NA,11320,NA,NA,NA,NA,NA,0.8514,NA,0.8571,6333,70.30928265,NA,NA,0.8675,NA,NA,1
"Abdill Career College Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21353,NA,NA,NA,NA,NA,21015,22297,22147,23847,23714,NA,NA,NA,NA,9500,105.469475,0.540372671,NA,0.565201449,NA,0.430555552,0.773584905660377
"Abilene Christian University",3,0,470,580,490,600,450,560,525,545,505,21,27,21,27,21,27,6,8,24,24,24,7,1087,1087,NA,24106,NA,NA,NA,NA,NA,20836,21230,22504,25333,27831,0.7941,NA,NA,NA,26237.5,291.2900369,0.847839318,0.578468615,NA,40200,0.636507928,0.217241379310345
"Abington Memorial Hospital Dixon School of Nursing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16035,178.0213718,0.883333333,NA,NA,NA,0.984848499,NA
"Abraham Baldwin Agricultural College",2,0,410,500,400,490,NA,NA,455,445,NA,16,21,15,21,16,21,NA,NA,19,18,19,NA,897,897,9477,NA,7887,8862,10959,12342,12946,NA,NA,NA,NA,NA,0.604,NA,0.1667,NA,13500,149.877675,0.588881707,0.16227673,NA,31900,0.520815611,0.432915921288014
"Academia Serrant Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5868,NA,NA,NA,NA,NA,5690,6629,7639,7059,NA,NA,0.8478,NA,NA,NA,NA,NA,NA,0.719672727,12100,0.170984462,0.852459016393443
"Academy College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23321,NA,NA,NA,NA,NA,21629,NA,NA,26704,NA,NA,NA,1,NA,36387,403.9702934,0.48,0.44262623,NA,38300,0.530973434,0.666666666666667
"Academy Di Capelli-School of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12479,NA,NA,NA,NA,NA,8316,12042,13554,14101,15887,NA,1,NA,0.8333,13833,153.5746577,0.785714286,NA,0.940452381,NA,NA,0.104477611940299
"Academy di Firenze",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10088,NA,NA,NA,NA,NA,10099,8702,NA,14135,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333333333
"Academy for Careers and Technology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8006,NA,8006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5278,NA,NA,NA,NA,NA,NA,0.589765385,NA,NA,1
"Academy for Five Element Acupuncture",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy for Jewish Religion-California",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy for Nursing and Health Occupations",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9487,NA,NA,10877,120.7569979,0.481081081,NA,0.780973696,31200,0.588235319,NA
"Academy for Salon Professionals",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13393,NA,NA,NA,NA,NA,13200,12704,15486,NA,NA,NA,0.8571,NA,1,6333,70.30928265,NA,NA,NA,NA,NA,1
"Academy for Salon Professionals",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13393,NA,NA,NA,NA,NA,13200,12704,15486,NA,NA,NA,0.8571,NA,1,6333,70.30928265,NA,NA,NA,NA,NA,0.6875
"Academy for Salon Professionals",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13759,NA,NA,NA,NA,NA,13759,NA,NA,NA,NA,NA,0.8846,NA,0.8571,10556,117.1932398,NA,NA,0.8333,NA,NA,1
"Academy for Salon Professionals",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13759,NA,NA,NA,NA,NA,13759,NA,NA,NA,NA,NA,0.8846,NA,0.8571,10556,117.1932398,NA,NA,0.8333,NA,NA,0.6875
"Academy of Art University",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30100,NA,NA,NA,NA,NA,28224,29403,30610,33121,32730,0.71,NA,0.4131,NA,34000,377.4697,0.552890423,0.317278166,NA,36100,0.517689884,0.404494382022472
"Academy of Career Training",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6078,NA,NA,NA,NA,NA,6078,6078,NA,NA,NA,NA,0.8571,NA,0.8475,5500,61.061275,0.522580645,NA,0.814636585,NA,NA,0.896551724137931
"Academy of Careers and Technology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6124,NA,5540,7335,8620,NA,NA,NA,NA,NA,NA,NA,NA,0.7667,NA,0.7647,NA,NA,NA,NA,0.757927389,28200,0.474074066,0.694444444444444
"Academy of Chinese Culture and Health Sciences",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15975,NA,NA,NA,NA,NA,15588,17588,18088,NA,NA,NA,0.8806,NA,NA,5500,61.061275,0.518072289,NA,0.767791011,14500,0.200000003,1
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15975,NA,NA,NA,NA,NA,15588,17588,18088,NA,NA,NA,0.8806,NA,NA,5500,61.061275,0.518072289,NA,0.767791011,14500,0.200000003,0.657142857142857
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15975,NA,NA,NA,NA,NA,15588,17588,18088,NA,NA,NA,0.8806,NA,NA,5500,61.061275,0.518072289,NA,0.767791011,14500,0.200000003,0.666666666666667
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15975,NA,NA,NA,NA,NA,15588,17588,18088,NA,NA,NA,0.8806,NA,NA,5500,61.061275,0.518072289,NA,0.767791011,14500,0.200000003,0.81858407079646
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8586,NA,NA,NA,NA,NA,7678,9738,11500,NA,NA,NA,0.9474,NA,NA,NA,NA,0.838709677,NA,0.787887879,NA,NA,1
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8586,NA,NA,NA,NA,NA,7678,9738,11500,NA,NA,NA,0.9474,NA,NA,NA,NA,0.838709677,NA,0.787887879,NA,NA,0.657142857142857
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8586,NA,NA,NA,NA,NA,7678,9738,11500,NA,NA,NA,0.9474,NA,NA,NA,NA,0.838709677,NA,0.787887879,NA,NA,0.666666666666667
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8586,NA,NA,NA,NA,NA,7678,9738,11500,NA,NA,NA,0.9474,NA,NA,NA,NA,0.838709677,NA,0.787887879,NA,NA,0.81858407079646
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9773,NA,NA,NA,NA,NA,9664,9907,10272,NA,NA,NA,0.9412,NA,NA,9764,108.4004162,0.596774194,NA,0.508244262,NA,NA,1
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9773,NA,NA,NA,NA,NA,9664,9907,10272,NA,NA,NA,0.9412,NA,NA,9764,108.4004162,0.596774194,NA,0.508244262,NA,NA,0.657142857142857
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9773,NA,NA,NA,NA,NA,9664,9907,10272,NA,NA,NA,0.9412,NA,NA,9764,108.4004162,0.596774194,NA,0.508244262,NA,NA,0.666666666666667
"Academy of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9773,NA,NA,NA,NA,NA,9664,9907,10272,NA,NA,NA,0.9412,NA,NA,9764,108.4004162,0.596774194,NA,0.508244262,NA,NA,0.81858407079646
"Academy of Cosmetology and Esthetics NYC",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19324,NA,NA,NA,NA,NA,17798,19049,20299,21952,22219,NA,0.619,NA,0.75,9500,105.469475,NA,NA,0.896575862,NA,NA,0.521739130434783
"Academy of Couture Art",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32826,NA,NA,NA,NA,NA,32826,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Academy of Esthetics and Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11863,NA,NA,NA,NA,NA,11633,12783,NA,NA,NA,NA,1,NA,NA,3772,41.8769326,NA,NA,NA,NA,NA,0.8
"Academy of Hair Design-Beaumont",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6506,NA,NA,NA,NA,NA,6506,NA,NA,NA,NA,NA,0.1538,NA,NA,NA,NA,NA,NA,0.781456954,14400,0.222222224,1
"Academy of Hair Design-Grenada",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5857,NA,NA,NA,NA,NA,5857,NA,NA,NA,NA,NA,0.6667,NA,NA,NA,NA,0.360655738,NA,0.969706061,16100,0.190476194,1
"Academy of Hair Design-Jackson",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6964,NA,NA,NA,NA,NA,6964,NA,NA,NA,NA,NA,0.8333,NA,0.5,NA,NA,0.360655738,NA,1,16100,0.190476194,1
"Academy of Hair Design-Jasper",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6196,NA,NA,NA,NA,NA,6196,NA,NA,NA,NA,NA,0.1538,NA,0.1538,6333,70.30928265,NA,NA,0.886784906,15000,0.165517241,1
"Academy of Hair Design-Las Vegas",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13801,NA,NA,NA,NA,NA,13763,16926,NA,NA,NA,NA,0.8182,NA,NA,9811.5,108.9277636,0.599315068,NA,0.728340462,19400,0.349726766,0.987951807228916
"Academy of Hair Design-Lufkin",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7542,NA,NA,NA,NA,NA,7542,NA,NA,NA,NA,NA,0.1538,NA,0.15,6333,70.30928265,NA,NA,1,15000,0.165517241,1
"Academy of Hair Design-Oklahoma City",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10952,NA,NA,NA,NA,NA,10961,NA,10840,NA,NA,NA,0.5455,NA,0.5,15178.5,168.5124659,0.466666667,NA,NA,NA,NA,0.928571428571429
"Academy of Hair Design-Pearl",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8003,NA,NA,NA,NA,NA,8003,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0.564102564,NA,0.77778,NA,0.241379306,1
"Academy of Hair Design-Salem",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10839,NA,NA,NA,NA,NA,10839,NA,NA,NA,NA,NA,0.7273,NA,NA,18833,209.0849077,0.387755102,NA,0.5658,14500,0.196428567,1
"Academy of Hair Design-Springfield",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11579,NA,NA,NA,NA,NA,11579,NA,NA,NA,NA,NA,0.8421,NA,NA,9500,105.469475,0.487012987,NA,0.762607914,NA,NA,1
"Academy of Hair Technology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14365,NA,NA,NA,NA,NA,14365,NA,NA,NA,NA,NA,0.8,NA,0.8,7600,84.37558,0.539325843,NA,0.522872589,15300,0.230769232,1
"Academy of Healing Arts Massage & Facial Skin Care",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11616,NA,NA,NA,NA,NA,11616,NA,NA,NA,NA,NA,1,NA,1,6580,73.051489,0.483870968,NA,0.984848485,17900,0.270967752,1
"Academy of Interactive Entertainment",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy of Massage and Bodywork",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.8889,6150,68.2776075,0.630136986,NA,NA,NA,NA,NA
"Academy of Natural Therapy Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19957,NA,NA,NA,NA,NA,20034,17064,22465,NA,NA,NA,0.8333,NA,0.5,10666,118.4144653,0.587301587,NA,0.733344444,NA,NA,0.714285714285714
"Academy of Salon and Spa",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15696,NA,NA,NA,NA,NA,15567,15680,19282,16559,NA,NA,0.7813,NA,NA,9500,105.469475,0.42519685,NA,0.606706667,NA,NA,0.733333333333333
"Academy of Salon Professionals",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5067,NA,NA,NA,NA,NA,5067,NA,NA,NA,NA,NA,0.8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Academy of Vocal Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acadiana Technical College-Lafayette Campus",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7252,NA,7090,7563,9181,NA,NA,NA,NA,NA,NA,NA,NA,0.6132,NA,0.4147,NA,NA,NA,NA,0.480894607,27000,0.419159412,0.830985915492958
"Acaydia School of Aesthetics",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17680,NA,NA,NA,NA,NA,16180,NA,NA,18180,NA,NA,1,NA,NA,5500,61.061275,NA,NA,0.766241558,NA,NA,0.25
"Access Careers",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22699,NA,NA,NA,NA,NA,22699,NA,NA,NA,NA,NA,0.8438,NA,0.8723,9500,105.469475,NA,NA,NA,NA,NA,1
"Ace Computer Training Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8182,4797,53.25653385,NA,NA,NA,NA,NA,NA
"Ace Cosmetology and Barber Training Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14903,NA,NA,NA,NA,NA,14903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Acupuncture and Integrative Medicine College-Berkeley",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acupuncture and Massage College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7600,84.37558,0.6,0.6104,NA,24000,0.423913032,NA
"Adams State University",3,0,440,533,450,550,440,530,487,500,485,17,22,16,22,16,23,NA,NA,20,19,20,NA,939,939,14676,NA,14705,14570,14842,14510,14808,NA,NA,NA,NA,NA,0.5592,NA,0.3125,NA,NA,NA,0.626040878,0.21733659,NA,33200,0.482023954,0.357771260997067
"Adelphi University",3,0,500,600,520,620,510,610,550,570,560,19,24,20,26,22,27,7,8,22,23,25,8,1098,1098,NA,32781,NA,NA,NA,NA,NA,20512,22884,32463,41181,41559,0.8112,NA,0.3333,NA,25000,277.55125,0.873628994,0.641871328,NA,50600,0.766710341,0.209119496855346
"Adirondack Beauty School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10194,NA,NA,NA,NA,NA,9933,NA,8130,13180,13180,NA,0.9167,NA,NA,8156.5,90.55387083,0.657894737,NA,0.717365217,NA,NA,0.833333333333333
"Adirondack Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5358,NA,2810,4708,7997,9730,10166,NA,NA,NA,NA,NA,NA,0.6284,NA,0.4396,13000,144.32665,0.646017699,NA,0.25394359,32300,0.482635796,0.452332657200811
"Adler Graduate School",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adler School of Professional Psychology",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian's College of Beauty Modesto",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14768,NA,NA,NA,NA,NA,14641,15194,16279,NA,18479,NA,0.8148,NA,NA,10836,120.3018138,0.43373494,NA,0.586791698,14600,0.217391297,0.911602209944751
"Adrian's College of Beauty Turlock",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12396,NA,NA,NA,NA,NA,12371,12408,12579,NA,NA,NA,0.9364,NA,NA,9280,103.027024,0.460465116,NA,0.817740394,13100,NA,0.767741935483871
"Adrian College",3,0,400,530,410,440,NA,NA,465,425,NA,19,24,18,25,18,25,NA,NA,22,22,22,NA,1007,1007,NA,19151,NA,NA,NA,NA,NA,15774,15102,18464,22728,27759,0.5811,NA,NA,NA,27000,299.75535,0.80733945,0.564354545,NA,36500,0.552971601,0.302103250478011
"Adult and Community Education-Hudson",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11418,NA,11197,12000,14497,NA,NA,NA,NA,NA,NA,NA,NA,0.7179,NA,0.75,14488,160.8465004,0.642857143,NA,0.7213,36900,0.792452812,0.805194805194805
"Adult and Continuing Education-BCTS",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15875,NA,13586,16672,17564,NA,NA,NA,NA,NA,NA,NA,NA,0.7937,NA,NA,3500,38.857175,0.627118644,NA,0.946821809,NA,NA,0.3125
"Advance Beauty College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,0.8421,NA,NA,NA,NA,0.900011642,NA,0.171521038,NA
"Advance Beauty Techs Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15943,NA,NA,NA,NA,NA,15849,14421,19171,NA,NA,NA,0.75,NA,1,9705,107.7453953,NA,NA,NA,NA,NA,0.9
