,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,poverty_rate,unemp_rate,CCSIZSET
2583,188669,2171900,21719,The Ailey School,New York,NY,www.alvinailey.org,www.theaileyschool.edu/ailey-school/general-information,0,1,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,0.1868,0.2088,0.0879,0.011000000000000001,0.0,0.0,0.0879,0.3956,0.022000000000000002,0.0,1,,27027.0,,,,,,22872.0,24155.0,26005.0,32155.0,33155.0,0.1837,,0.6538,,,0.2959,0.0879,PrivacySuppressed,PrivacySuppressed,0.725,,0.5500425,PrivacySuppressed,PrivacySuppressed,10.89000034,4.480000019,
2586,188696,2511500,25115,Joffrey Ballet School,New York,NY,www.joffreyballetschool.com,www.joffreyballetschool.com,1,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,230.0,0.4435,0.0391,0.0696,0.0348,0.0043,0.0,0.0304,0.3304,0.0478,0.0,1,,23963.0,,,,,,23963.0,,,,,0.1389,,0.5271,,,0.2111,0.0174,,,PrivacySuppressed,,0.404459551,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,
2588,188890,751800,7518,Apex Technical School,Long Island City,NY,www.apextechnical.com,www.apextechnical.com,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643,0.4821,0.1536,0.0,0.0,0.0,0.0,0.0,0.0,1292.0,0.0689,0.322,0.2454,0.0348,0.0124,0.0,0.0,0.0,0.3166,0.2446,1,,16995.0,,,,,,16893.0,18279.0,18814.0,22022.0,,0.6566,,0.5596,,0.5823,0.555,0.5797,9500,105.469475,0.409626039,,0.689908106,34600,0.469191909,21.56999969,6.480000019,
2606,189468,928400,9284,Brittany Beauty School,Levittown,NY,www.BrittanyBeautySchool.com,www.brittanybeautyschool.com/netpricecalculator.asp,0,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.5833,0.0625,0.1944,0.0208,0.0,0.0972,0.0139,0.0,0.0278,0.2292,1,,15302.0,,,,,,14310.0,14743.0,17280.0,16420.0,17263.0,0.5598,,0.825,,0.3333,0.8291,0.5694,8075,89.64905375,0.52559727,,0.770940645,21300,0.230769232,10.26000023,3.829999924,
2617,189714,2056400,20564,Capri School of Hair Design,Nanuet,NY,Caprinow.com,Caprinow.com,0,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.6807,0.1807,0.0882,0.0294,0.0,0.0,0.0084,0.0042,0.0084,0.2395,1,,15913.0,,,,,,14620.0,16946.0,17429.0,18229.0,18229.0,0.3072,,0.5,,0.6,0.3274,0.395,6333,70.30928265,0.673333333,,0.758489116,28300,0.355263144,6.869999886,2.859999895,
2665,190707,1161400,11614,CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,www.cvph.org/,www.cvph.org/careers/School-Radiologic-Technology.aspx,0,1,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,6112.0,,,,,,2049.0,,10176.0,,,0.2609,,0.25,,,0.8261,0.1739,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.874991667,PrivacySuppressed,PrivacySuppressed,9.369999886,4.440000057,
2680,191287,2575400,25754,The International Culinary Center,New York,NY,www.internationalculinarycenter.com,www.internationalculinarycenter.com/site/net_price_calculator/,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.5137,0.0526,0.1432,0.1958,0.0042,0.0063,0.0526,0.0021,0.0295,0.4505,1,,56287.0,,,,,,56239.0,56410.0,56152.0,,,0.1973,,,,,0.2539,0.5811,6333,70.30928265,0.914179104,,0.927967925,42300,0.581250012,9.890000343,3.900000095,
2682,191311,2231901,22319,Gemological Institute of America-New York,New York,NY,www.gia.edu,www.gia.edu/net-price-calculator,0,1,2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,193.0,0.2435,0.0,0.0052,0.1813,0.0,0.0,0.0155,0.0,0.5544,0.0,1,,28800.0,,,,,,28544.0,,,32385.0,,0.0313,,,,,0.0484,0.4663,9516,105.6471078,0.974789916,,0.955860294,38800,0.65882355,8.050000191,3.410000086,
2761,193991,2314200,23142,Empire Beauty School-Peekskill,Peekskill,NY,www.empire.edu,www.empire.edu/net-price-calculator,0,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.5581,0.1163,0.2093,0.0,0.0,0.0,0.0698,0.0,0.0465,0.0,1,,15001.0,,,,,,12987.0,13865.0,17047.0,17557.0,17557.0,0.4691,,0.9091,,,0.6049,0.2093,9184,101.9612272,0.655172414,,0.637903448,PrivacySuppressed,PrivacySuppressed,6.71999979,3.279999971,
2773,194435,818900,8189,Continental School of Beauty Culture-West Seneca,West Seneca,NY,www.continentalnow.com,www.continentalnow.com/schools/west-seneca-school/,0,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.8829,0.045,0.036000000000000004,0.0,0.009000000000000001,0.0,0.018000000000000002,0.0,0.009000000000000001,0.3694,1,,13670.0,,,,,,13043.0,13304.0,14504.0,17454.0,17454.0,0.5573,,0.8667,,0.6,0.6198,0.4505,9500,105.469475,0.532085561,,0.689018293,17200,0.25777778,13.51000023,5.03000021,
