,Class,Distance,P-Value,Name
215,6,1192032072.310804,Arizona State University-Tempe,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
216,6,1545240801.5525653,University of Michigan-Ann Arbor,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
217,7,161539.89134144122,University of Mary Washington,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
218,7,179728.15365099715,Dickinson State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
219,7,346228.20341395197,University of Maine at Fort Kent,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
220,7,553721.3172334952,University of Maine at Machias,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
221,7,1022847.4043080967,California Maritime Academy,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
222,7,1267258.5996024916,University of South Carolina-Beaufort,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
223,8,13429.629004490715,Georgia Southwestern State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
224,8,26373.752375924225,Purdue University-North Central Campus,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
225,8,40700.720970665956,Western State Colorado University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
226,8,45305.65521739895,Louisiana State University-Shreveport,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
227,8,66759.22319400834,Indiana University-Kokomo,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
228,8,90021.19529413423,University of Minnesota-Crookston,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
229,8,177514.2363745774,Minot State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
230,8,214886.48023804594,Glenville State College,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
231,8,308966.9521065445,Lyndon State College,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
232,8,338349.0391551332,South Dakota School of Mines and Technology,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
233,8,637148.4290167355,University of Illinois at Springfield,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
234,8,1118883.8526952513,Montana State University-Northern,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
235,8,1208838.3485285772,Dakota State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
236,9,47411.79166822629,Montana Tech of the University of Montana,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
237,9,51815.36340619857,Worcester State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
238,9,73678.23055445144,University of South Carolina-Aiken,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
239,9,74808.37121544282,West Liberty University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
240,9,90125.53275576759,Concord University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
