"","INSTNM","POOR_Prop"
"132","Empire Beauty School-NW Phoenix",0.782051282051282
"133","Yavapai College",0.576923076923077
"134","University of Arkansas at Little Rock",0.49625468164794
"135","University of Arkansas for Medical Sciences",NA
"136","ABC Beauty College Inc",1
"137","Arkansas Baptist College",0.767441860465116
"138","Arkansas Beauty School",1
"139","Arkansas Beauty College",0.740740740740741
"140","Lyon College",0.276422764227642
"141","Arkansas College of Barbering and Hair Design",0.888888888888889
"142","Arthur's Beauty College Inc-Fort Smith",1
"143","University of Arkansas",0.272036474164134
"144","University of Arkansas at Pine Bluff",0.72
"145","Arkansas State University-Beebe",0.642714570858283
"146","Arkansas State University-Main Campus",0.380612244897959
"147","Arkansas Tech University",0.506596306068602
"148","University of Arkansas at Monticello",0.688311688311688
"149","Arthur's Beauty College Inc-Jacksonville",0.833333333333333
"150","Baptist Health Schools-Little Rock",0.409090909090909
"151","Black River Technical College",0.699088145896657
"152","University of Central Arkansas",0.344972067039106
"153","Central Baptist College",0.355263157894737
"154","Cossatot Community College of the University of Arkansas",0.706766917293233
"155","Crowley's Ridge College",0.314814814814815
"156","Crowley's Ridge Technical Institute",0.823529411764706
"157","East Arkansas Community College",0.896039603960396
"158","Eastern College of Health Vocations-Little Rock",1
"159","Imagine-Paul Mitchell Partner School",0.5859375
"160","National Park Community College",0.7
"161","University of Arkansas Community College-Batesville",0.703030303030303
"162","Harding University",0.195084485407066
"163","Henderson State University",0.619047619047619
"164","Hendrix College",0.247619047619048
"165","Hot Springs Beauty College",1
"166","Jefferson Regional Medical Center School of Nursing",NA
"167","John Brown University",0.203883495145631
"168","Lees School of Cosmetology",1
"169","Career Academy of Hair Design",0.828125
"170","Marsha Kay Beauty College",1
"171","Academy of Salon and Spa",0.733333333333333
"172","Mid-South Community College",0.81025641025641
"173","Arkansas Northeastern College",0.687861271676301
"174","Margaret's Hair Academy Inc",0.714285714285714
"175","New Tyler Barber College Inc",1
"176","North Arkansas College",0.610486891385768
"177","Northwest Technical Institute",0.616438356164384
"178","Ouachita Baptist University",0.184615384615385
"179","College of the Ouachitas",0.59375
"180","Ozarka College",0.79047619047619
"181","University of the Ozarks",0.333333333333333
"182","University of Arkansas Community College-Morrilton",0.6
"183","Philander Smith College",0.635135135135135
"184","Phillips Community College of the University of Arkansas",1
"185","Southeast Arkansas College",0.773504273504274
"186","Professional Cosmetology Education Center",1
"187","Pulaski Technical College",0.770423991726991
"188","University of Arkansas Community College-Hope",0.705660377358491
"189","Rich Mountain Community College",0.672268907563025
"190","Paul Mitchell the School-Arkansas",0.846153846153846
"191","Searcy Beauty College Inc",0.894736842105263
"192","Shorter College",1
"193","Williams Baptist College",0.336633663366337
"194","South Arkansas Community College",0.709090909090909
"195","Southern Arkansas University Main Campus",0.574324324324324
"196","Southern Arkansas University Tech",0.772151898734177
"197","Velvatex College of Beauty Culture",1
"198","University of Arkansas-Fort Smith",0.776666666666667
"199","Academy of Art University",0.404494382022472
"200","ITT Technical Institute-Rancho Cordova",0.459459459459459
"201","Academy of Chinese Culture and Health Sciences",NA
"202","The Academy of Radio and TV Broadcasting",0.414285714285714
"203","Avalon School of Cosmetology-Alameda",1
"204","College of Alameda",1
"205","Allan Hancock College",0.997876857749469
"206","American Academy of Dramatic Arts-Los Angeles",0.323943661971831
"207","American Baptist Seminary of the West",NA
"208","American Film Institute Conservatory",NA
"209","American Beauty College",0.888888888888889
"210","American Career College-Los Angeles",0.80565371024735
"211","American Conservatory Theater",NA
"212","American River College",1
"213","Everest College-Hayward",0.819672131147541
"214","Antelope Valley College",0.99835255354201
"215","Art Center College of Design",0.395061728395062
"216","Associated Technical College-Los Angeles",0.935483870967742
"217","Associated Technical College-San Diego",0.906474820143885
"218","Azusa Pacific University",0.232620320855615
"219","Bakersfield College",1
"220","Barstow Community College",1
"221","Bellus Academy-National City",0.80952380952381
"222","Bethesda University of California",0.5625
"223","Biola University",0.157490396927017
"224","Brooks Institute",0.416666666666667
"225","Brownson Technical School",0.669767441860465
"226","Bryan University",0.819672131147541
"227","Butte College",0.992647058823529
"228","Phillips Graduate Institute",NA
"229","California Institute of Integral Studies",NA
"230","Cabrillo College",0.994897959183674
"231","California Baptist University",0.293706293706294
"232","California College of the Arts",0.28695652173913
"233","University of California-Hastings College of Law",NA
"234","California Institute of Technology",0.174757281553398
"235","California Lutheran University",0.166180758017493
"236","California Polytechnic State University-San Luis Obispo",0.223384030418251
"237","Alliant International University",1
"238","California State University-Bakersfield",0.521783181357649
"239","California State University-Stanislaus",0.416156670746634
"240","California State University-San Bernardino",0.497183819764465
"241","California State Polytechnic University-Pomona",0.384895833333333
"242","California State University-Chico",0.355599214145383
"243","California State University-Dominguez Hills",0.594202898550725
"244","California State University-Fresno",0.515450067174205
"245","California State University-Fullerton",0.364140480591497
"246","California State University-East Bay",0.439600363306085
"247","California State University-Long Beach",0.434210526315789
"248","California State University-Los Angeles",0.590600994125621
"249","California State University-Northridge",0.534051424600417
"250","California State University-Sacramento",0.44967978042086
"251","University of California-Berkeley",0.408450704225352
"252","University of California-Davis",0.361732339368122
"253","University of California-Irvine",0.465651328580687
"254","University of California-Los Angeles",0.399915540540541
"255","University of California-Riverside",0.390977443609023
"256","University of California-San Diego",0.333333333333333
"257","University of California-San Francisco",NA
"258","University of California-Santa Barbara",0.425
"259","University of California-Santa Cruz",0.380917431192661
"260","Sofia University",NA
"261","California Beauty School",0.710526315789474
"262","California Christian College",0.5
"263","California College San Diego",0.550847457627119
"264","Le Cordon Bleu College of Culinary Arts-San Francisco",0.573333333333333
