,Class,Distance,Name
143,1,2573694.023267681,Western Oklahoma State College
144,1,2574253.187614601,Southeastern Community College
145,1,2574253.1876146034,Southeastern Community College
146,1,2592423.8441009666,Western Nebraska Community College
147,1,2612399.134168331,Henderson Community College
148,1,2627606.282009741,North Central Missouri College
149,1,2643155.9690876133,Pennsylvania Highlands Community College
150,1,2648650.9404881997,Sullivan County Community College
151,1,2717011.9539679885,Columbia-Greene Community College
152,1,2723872.0608470566,Carteret Community College
153,1,2746440.4403240886,Cecil College
154,1,2761704.4349394892,Northeastern Junior College
155,1,2888607.499002741,New Mexico Junior College
156,1,2907184.8539437,Central Wyoming College
157,1,2908829.972850834,Highland Community College
158,1,2908829.9728508457,Highland Community College
159,1,2918115.752302679,Clarendon College
160,1,2919633.397378698,Lakeshore Technical College
161,1,2925144.3665877874,Asnuntuck Community College
162,1,2930103.293854221,Neosho County Community College
163,1,3041481.503000155,Mid-Plains Community College
164,1,3045771.1259323163,Clinton Community College
165,1,3085637.6959106545,University of South Carolina-Salkehatchie
166,1,3098408.1666766116,Alexandria Technical & Community College
167,1,3104328.060986698,Helena College University of Montana
168,1,3123085.2244134373,University of South Carolina-Lancaster
169,1,3133995.262198777,Lake Area Technical Institute
170,1,3138307.070939562,North Dakota State College of Science
171,1,3166304.566631863,Itasca Community College
172,1,3176267.365428209,Hibbing Community College
173,1,3237231.412606697,Northwest College
174,1,3409802.458695317,West Shore Community College
175,1,3425597.477231989,Nicolet Area Technical College
176,1,3450806.133134506,York County Community College
177,1,3451851.815564851,Western Dakota Technical Institute
178,1,3501599.233852048,Pratt Community College
179,1,3527748.6262518615,Linn State Technical College
180,1,3644322.98440693,Nashua Community College
181,1,3657695.6378504215,Northern Maine Community College
182,1,3701665.7834036206,Texas State Technical College-West Texas
183,1,3730917.076941005,North Country Community College
184,1,3800449.426536362,Washington State Community College
185,1,3872031.118836198,Warren County Community College
186,1,3883749.328829921,Morgan Community College
187,1,3939919.2339552827,Eastern Wyoming College
188,1,3970744.084880215,Glen Oaks Community College
189,1,3986143.736090193,Gogebic Community College
190,1,4030321.259516082,Independence Community College
191,1,4091626.6840642286,Mitchell Technical Institute
192,1,4129179.58034335,Lincoln Trail College
193,1,4194122.1815884695,Pine Technical College
194,1,4320587.694902007,Garrett College
195,1,4340416.443920339,Dabney S Lancaster Community College
196,1,4414424.13236474,Williston State College
197,1,4511000.245782633,Frank Phillips College
198,1,4573706.986089669,Eastern Idaho Technical College
199,1,4582364.541177217,Washburn Institute of Technology
200,1,4588885.281075376,University of South Carolina-Sumter
201,1,4610589.053484689,Lake Region State College
202,1,4638469.473622509,Flint Hills Technical College
203,1,4646697.567709715,Northwest Iowa Community College
204,1,4761676.682745453,North Central Kansas Technical College
205,1,4765662.53863975,Colorado Northwestern Community College
206,1,4768103.728772152,Manhattan Area Technical College
207,1,4959151.879943561,Dakota College at Bottineau
208,1,5015398.721462846,University of South Carolina-Union
209,1,5022206.23687729,Miles Community College
210,1,5131049.429066656,Northwest Kansas Technical College
211,1,5153332.842713093,Dawson Community College
212,1,5177327.822399344,Lancaster County Career and Technology Center
213,1,5184302.01581693,Washington County Community College
214,1,5240945.280444021,Vermilion Community College
215,1,5331148.438395714,Ohio State University Agricultural Technical Institute
216,1,5517040.212991007,Eastland-Fairfield Career and Technical Schools
217,1,5549520.313674164,Western Suffolk BOCES
218,1,5662182.879471369,Wayne County Schools Career Center
219,1,5719862.245902925,Greater Altoona Career & Technology Center
220,1,5750381.04774618,Salina Area Technical College
221,1,5759799.2107691225,Eastern Suffolk BOCES-Practical Nursing Program
222,1,5802833.557537137,Rainy River Community College
223,1,5813637.738912472,Greater Johnstown Career and Technology Center
224,1,5981155.479145457,Lenape Technical School Practical Nursing Program
225,1,5981981.336738321,Delta Montrose Technical College
226,1,6075320.107195959,Southeastern Technical Institute
227,1,6116014.218688888,York County School of Technology-Adult & Continuing Education
228,1,6142600.339544689,Dutchess BOCES-Practical Nursing Program
229,2,0.0,James H Faulkner State Community College
230,2,78823.4158145891,Three Rivers Community College
231,2,78823.4158158226,Three Rivers Community College
232,2,83064.55517736102,Southern Maine Community College
233,2,102799.87958710051,North Hennepin Community College
234,2,108289.82403361597,Black Hawk College
235,2,151693.31705332367,Southern Union State Community College
236,2,163098.95889031643,Albany Technical College
237,2,177541.1044143556,Hocking College
238,2,188791.83809903506,Roane State Community College
239,2,190650.1876883313,Ocean County College
240,2,196096.68086884823,Clark State Community College
241,2,196822.66574720584,John A Logan College
242,2,198560.02609286987,Burlington County College
243,2,210406.1886467309,Illinois Central College
244,2,258376.18050076856,Normandale Community College
245,2,260550.1633992195,Eastern Iowa Community College District
246,2,276330.48665302293,Northeast State Community College
247,2,279352.018523039,Highline Community College
248,2,325330.2975320733,College of Lake County
249,2,341177.4831749504,Manchester Community College
250,2,341177.48317498947,Manchester Community College
251,2,383384.1520896014,Crowder College
252,2,393444.0841548846,Temple College
253,2,521522.6468407122,SUNY Broome Community College
254,2,530991.7574923595,Massasoit Community College
255,2,544749.9142252593,York Technical College
256,3,0.0,George C Wallace State Community College-Hanceville
257,3,144216.40667571098,Asheville-Buncombe Technical Community College
258,3,144947.4602526101,Green River Community College
259,3,171514.66348505058,Lakeland Community College
260,3,247740.19983782162,Holyoke Community College
261,3,275785.4749076218,Harper College
262,3,280008.8469850002,Kellogg Community College
263,3,283815.58029760944,Volunteer State Community College
264,3,364259.14384718786,Kishwaukee College
265,3,372041.82611519896,Truckee Meadows Community College
266,3,392906.8504839315,Big Sandy Community and Technical College
267,3,487963.6992567523,NorthWest Arkansas Community College
268,3,508670.0541740557,State Fair Community College
269,3,521905.09390027623,Naugatuck Valley Community College
270,3,524901.9668971441,Spartanburg Community College
271,4,0.0,Jefferson State Community College
272,4,70084.12895796858,West Kentucky Community and Technical College
273,4,107778.4891556106,Middlesex Community College
274,4,107778.48915570109,Middlesex Community College
275,4,134443.15095717518,Spokane Falls Community College
276,4,165315.89562103865,Pearl River Community College
277,4,190327.46561351072,Trinity Valley Community College
278,4,240084.93613390735,Pueblo Community College
279,4,278658.4315182119,North Idaho College
280,4,323784.2482806231,Hudson Valley Community College
281,4,327866.4309556432,North Central Texas College
282,4,354995.88943162357,North Shore Community College
283,4,410492.37347745686,Central Oregon Community College
284,4,427620.8612452417,Montgomery County Community College
285,4,444134.35126521165,Texas State Technical College-Harlingen
286,4,568302.6725222068,Johnson County Community College
287,4,582927.4932710346,Anne Arundel Community College
288,4,653719.1551530957,Mohawk Valley Community College
289,4,657170.291146412,Northeast Wisconsin Technical College
290,4,805561.1876692668,Butler Community College
291,4,840338.4417834642,Gwinnett Technical College
292,4,917928.8213711078,Tacoma Community College
293,4,948188.2362664428,Joliet Junior College
294,4,1007221.0494396517,Gateway Technical College
295,4,1074984.967545478,Oklahoma City Community College
296,4,1092828.4808918778,Southeast Community College Area
297,4,1285763.8874494296,Lower Columbia College
298,4,1379143.980031028,Elizabethtown Community and Technical College
299,4,1486594.2379306355,Darton State College
300,4,1619208.3891088709,Triton College
301,4,1646620.8579703348,Bristol Community College
302,4,2042112.7456702264,Gateway Community College
303,4,2156987.665109224,Saint Paul College
304,4,2414657.2850708757,Atlantic Cape Community College
305,4,2650816.290604498,East Mississippi Community College
306,4,2691024.6799125895,Springfield Technical Community College
307,4,2783580.4200942474,Estrella Mountain Community College
308,4,2890304.404480045,Cincinnati State Technical and Community College
309,4,2921864.6081055715,Brookdale Community College
310,5,0.0,John C Calhoun State Community College
311,5,90912.5968137938,Pasco-Hernando Community College
312,5,288515.3956022547,Pellissippi State Community College
313,5,313456.8811653224,Minneapolis Community and Technical College
314,5,375124.3598619024,J Sargeant Reynolds Community College
315,5,497798.1176215189,Spokane Community College
316,5,677512.5971967456,Southwestern Illinois College
