,Class,Distance,Name
0,0,220918.68723490732,Black Hills State University
1,0,459519.6063529612,Indiana University-East
2,1,455603.26693726104,University of Akron Main Campus
3,1,1224453.5000656168,University of Memphis
4,1,2919631.3103183815,Ball State University
5,1,4010567.9177403753,California State University-Chico
6,1,4555779.997147344,East Carolina University
7,1,5145853.454640913,Middle Tennessee State University
8,1,5554406.141499984,University of Southern Mississippi
9,1,7411270.454224534,University of North Carolina at Charlotte
10,1,8716162.04820254,Towson University
11,1,10825197.100138878,University of Nevada-Las Vegas
12,1,12097832.139615798,Missouri State University-Springfield
13,1,12468682.912666291,Eastern Kentucky University
14,1,13024910.95959635,Kennesaw State University
15,1,13353245.623112991,Southern Illinois University-Carbondale
16,1,14086669.001672745,Murray State University
17,1,15582593.38107799,University of North Florida
18,3,64746.01659058108,Louisiana Tech University
19,3,149948.74578178328,Texas A & M University-Commerce
20,3,271789.2229838326,Southern Illinois University-Edwardsville
21,3,337899.7791305714,Jacksonville State University
22,3,475474.6699651372,Northern Illinois University
23,3,597698.16393313,University of Northern Colorado
24,3,608465.0332703644,Georgia Institute of Technology-Main Campus
25,3,783436.0525712473,University of Wyoming
26,3,892935.8237908594,Austin Peay State University
27,3,989704.2521421695,University of North Carolina Wilmington
28,3,1265555.9433796846,Central Washington University
29,3,1369268.5977057447,Southeast Missouri State University
30,3,1554966.6337077757,Central Connecticut State University
31,3,1738977.1014308936,New Jersey Institute of Technology
32,3,1965342.823019276,The University of West Florida
33,3,2218074.52952103,College of Charleston
34,3,2867082.861754258,College of William and Mary
35,3,3051157.026031587,Arkansas Tech University
36,3,3162536.6534529617,Northwestern State University of Louisiana
37,3,3373786.124016466,University of West Georgia
38,3,3447295.875456633,Texas Woman's University
39,3,3561276.2743793135,Cleveland State University
40,3,3720530.0164077864,Tennessee Technological University
41,3,4145338.8935946077,Missouri University of Science and Technology
42,3,4293388.510178062,Columbus State University
43,3,4533595.4170133155,Florida Gulf Coast University
44,3,4603240.4693539925,Tarleton State University
45,3,5200831.298259837,University of Minnesota-Duluth
46,3,5266683.138873251,Humboldt State University
47,3,5319931.875054172,Western Washington University
48,3,5372527.044997597,Sonoma State University
49,3,5622087.593269312,Truman State University
50,3,5703019.597631097,Morehead State University
51,3,5835416.543910431,University of Arkansas at Little Rock
52,3,5914207.251296951,Northwest Missouri State University
53,3,5963243.842079896,North Dakota State University-Main Campus
54,3,6237700.438888018,Indiana University-Purdue University-Fort Wayne
55,3,6340800.778460508,New Mexico State University-Main Campus
56,3,6423162.569588214,Appalachian State University
57,3,6742763.06095559,Saint Cloud State University
58,3,7050699.3193127075,Northern Kentucky University
59,3,7267400.653522457,The Richard Stockton College of New Jersey
60,3,7315608.33940644,University of Wisconsin-Whitewater
61,3,7389418.948087331,Eastern Washington University
62,3,7626981.7468324015,University of Nevada-Reno
63,3,7826946.513761614,Indiana State University
64,3,7949177.448021024,Arkansas State University-Main Campus
65,3,8188820.507991681,University of North Carolina at Greensboro
66,3,8386764.670097034,University of Arkansas-Fort Smith
67,3,8527063.578386845,University of Colorado Denver
68,3,8567686.873388056,Michigan Technological University
69,3,8958650.404136898,California State University-Monterey Bay
70,3,9035756.36360183,University of Michigan-Flint
71,3,9106605.406109395,University of Colorado Colorado Springs
72,3,9398843.712653194,West Texas A & M University
73,3,9539244.348372247,Marshall University
74,3,9581773.405978529,University of Southern Maine
75,3,9993248.440634295,University of New Orleans
76,3,10186779.798920814,Valdosta State University
77,3,10298462.500646437,University of Alabama in Huntsville
78,3,10313766.609384956,South Dakota State University
79,3,10348976.064275408,Colorado State University-Pueblo
80,3,10601034.273005558,The University of Montana
81,3,10732207.742467718,University of Idaho
82,3,11304905.521300567,Metropolitan State University of Denver
83,3,11730961.416435102,University of South Alabama
84,3,11790881.374803886,California State University-San Marcos
85,3,12230232.748698378,East Tennessee State University
86,3,12394943.750273295,Georgia Southern University
87,3,12577522.366002975,Montana State University
88,3,12871501.027477993,University of Massachusetts-Lowell
89,3,13639765.164322736,Stephen F Austin State University
90,3,14248579.601513026,Boise State University
91,3,14876106.55009262,University of Illinois at Chicago
92,3,15317840.010920981,California Polytechnic State University-San Luis Obispo
93,3,15911197.998961477,Sam Houston State University
94,3,17285828.929999754,Old Dominion University
95,4,298343.60710628674,University of South Florida-St Petersburg
96,4,441865.1563286573,Shippensburg University of Pennsylvania
97,4,466786.50342918566,Emporia State University
98,4,501962.8436965948,Lander University
99,4,764772.9923031196,Indiana University-Southeast
100,4,796624.6724690333,Minnesota State University-Moorhead
101,4,1012560.550818221,Mississippi University for Women
102,4,1198511.8004136982,Indiana University-Northwest
103,4,1374376.653456223,The University of Texas of the Permian Basin
104,4,2041848.6179724098,Fairmont State University
105,4,2144753.117630834,Southern Polytechnic State University
106,4,2229812.1229501152,University of Montevallo
107,4,2374564.481221838,East Stroudsburg University of Pennsylvania
108,4,3105966.8488535983,Southern Arkansas University Main Campus
109,4,3221290.7889460134,Rhode Island College
110,4,3258951.643920307,The University of Virginia's College at Wise
111,4,3517242.249135947,Indiana University-South Bend
112,4,3904907.6224516933,Kutztown University of Pennsylvania
113,4,4162111.06566459,Frostburg State University
114,4,4299522.509844145,Salisbury University
115,4,4390557.206821636,Eastern Connecticut State University
116,4,4570460.848384914,Edinboro University of Pennsylvania
117,4,4675732.16532492,Ramapo College of New Jersey
118,4,4710636.26275455,Nicholls State University
119,4,5390689.645651961,University of South Carolina-Upstate
120,4,5902211.39441958,SUNY College at Plattsburgh
121,4,5921236.423576656,Southern Utah University
122,4,5921288.90282348,Armstrong Atlantic State University
123,4,6101508.564019635,Slippery Rock University of Pennsylvania
124,4,6721761.570459608,The University of Texas at Tyler
125,4,7157960.8840203,University of North Alabama
126,4,7211870.290105345,Midwestern State University
127,4,7905236.524334856,University of North Dakota
128,4,8181771.738611897,Clayton State University
129,4,8326086.135690917,SUNY College at Brockport
130,4,8983510.031005593,Western Carolina University
131,4,9116200.847664367,University of Nebraska at Kearney
132,4,9337782.830697037,University of Southern Indiana
133,4,9402161.648006022,The Evergreen State College
134,4,9764961.560065536,McNeese State University
135,5,93359.22862486198,Eastern New Mexico University-Main Campus
136,5,265609.84387091926,Oregon Institute of Technology
137,5,401043.168630417,Shepherd University
138,5,542744.3708917439,Delta State University
139,6,649541.2827658235,University of Arkansas
140,6,1553686.199101621,Grand Valley State University
141,6,4198415.981598206,University of Oregon
142,6,5581071.852849056,George Mason University
143,6,7724714.620102513,University of Alabama at Birmingham
144,6,11155286.266460098,Bowling Green State University-Main Campus
145,6,11187045.729272349,California State Polytechnic University-Pomona
146,6,13537597.034672786,Eastern Michigan University
147,6,13812250.022638515,University of Oklahoma-Norman Campus
148,6,15121435.107482089,Texas Tech University
149,6,15215845.524344489,Georgia State University
150,6,15276658.755195798,Miami University-Oxford
151,6,16329389.664165279,Oregon State University
152,6,16560254.34588533,Virginia Commonwealth University
153,6,17444493.054408893,Stony Brook University
154,6,17854845.784450654,California State University-San Bernardino
155,6,18259189.00866198,University of Louisville
156,6,18325126.24576596,Mississippi State University
157,6,19263670.60032571,Florida Atlantic University
158,6,20646768.54586551,Indiana University-Purdue University-Indianapolis
159,6,21736032.6845749,The University of Texas at Dallas
160,6,25243711.043408185,Utah State University
161,6,27244835.87036002,University of Toledo
162,6,28131275.90601255,Louisiana State University and Agricultural & Mechanical College
163,6,29005659.740795486,University of Colorado Boulder
164,6,30164311.52560004,Colorado State University-Fort Collins
165,6,30925682.710086368,Kent State University at Kent
166,6,31753065.049050037,San Francisco State University
167,6,33375679.994955935,West Virginia University
168,6,35370431.179041274,University of Nebraska-Lincoln
169,6,37308239.91403948,University of Vermont
170,6,37627005.37078668,California State University-Los Angeles
171,6,39579482.154025584,Northern Arizona University
172,6,40263184.611129954,University of California-Santa Cruz
173,6,42791779.637005776,University of Mississippi
174,6,46985229.18218768,University of Utah
175,6,47839932.83438778,The University of Texas at Arlington
176,6,48293052.68820581,University of Cincinnati-Main Campus
177,6,49316208.213786356,California State University-Fullerton
178,6,50104249.040612556,University of Kentucky
179,6,51628358.737297244,University of North Texas
180,6,52084641.09876114,Auburn University
