"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Automotive Training Center-Exton",211006,11649,10268,8962,0.9423,17000,188.73485,0.653478854,0.664811831,43400,0.698156655,0.569230769230769
"Automotive Training Center-Warminster",448770,14000,10282,11932,0.9756,17000,188.73485,0.653478854,0.66664359,43400,0.698156655,0.296875
"Avalon School of Cosmetology-Mesa",104568,11591,10608,12334,0.855,12907,143.2941594,0.517374517,0.778434091,17900,0.292817682,0.623456790123457
"Avalon School of Cosmetology-Phoenix",474915,10575,10080,10656,0.7051,12907,143.2941594,0.517374517,0.668569767,17900,0.292817682,0.686131386861314
"Aveda Institute-Baton Rouge",159513,13719,11444,13277,0.8333,12500,138.775625,0.613496933,0.870967742,17300,0.384615391,0.308080808080808
"Aveda Institute-Covington",160320,14656,13747,14867,0.7844,9833,109.1664577,0.709422011,0.764513311,17900,0.38278389,0.538461538461538
"Aveda Institute-Lafayette",159522,14506,13220,14671,0.7925,9416,104.5369028,0.838235294,0.85625988,18900,0.330508471,0.380952380952381
"Aveda Institute-Minneapolis",173744,16868,15182,14763,0.9618,8214,91.1922387,0.875,0.915848055,27700,0.514450848,0.343283582089552
"Aviation Institute of Maintenance-Atlanta",440059,22351,21958,22253,0.3827,25550,283.6573775,0.34992224,0.548817073,43200,0.468438536,0.672413793103448
"Aviation Institute of Maintenance-Chesapeake",427973,26573,25965,27630,0.5106,27916,309.9248278,0.277173913,0.452027397,40000,0.602739751,0.769230769230769
"Aviation Institute of Maintenance-Indianapolis",438735,25384,24159,27471,0.4444,27916,309.9248278,0.374531835,0.70314375,39700,0.563636363,0.653846153846154
"Aviation Institute of Maintenance-Philadelphia",250285,24143,23437,24351,0.4688,22652,251.4836366,0.423180593,0.414631707,37900,0.608695626,0.689655172413793
"Baltimore Studio of Hair Design",161855,11038,10958,12317,0.8235,6995,77.65883975,0.176165803,0.7600384,15700,0.236363634,0.941176470588235
"Baptist Health Schools-Little Rock",106546,15238,12611,15554,0.625,14750,163.7552375,0.802163833,0.442483186,42100,0.836363614,0.409090909090909
"Bar Palma Beauty Careers Academy",231280,12950,12542,13977,0.7895,9500,105.469475,0.275229358,0.525310127,17200,0.256410271,0.80952380952381
"Bay State School of Technology",164678,24489,23897,25447,0.8,8506,94.4340373,0.542613636,0.754075638,39300,0.701388896,0.74468085106383
"Beau Monde College of Hair Design",208248,8653,8298,10115,0.913,12295.5,136.5052558,0.333333333,0.781430464,20700,0.346153855,0.8125
"Beauty School of Middletown",374927,16222,15492,16389,0.9375,8700,96.587835,0.559322034,0.740396154,18000,0.333333343,0.666666666666667
"Beauty Schools of America-Hialeah",419660,18951,18886,18809,0.7243,9500,105.469475,0.33682266,0.70244959,14300,0.201604813,0.93127147766323
"Beauty Schools of America-Homestead",456861,18912,18877,19280,0.8523,9500,105.469475,0.33682266,0.7174,14300,0.201604813,0.952631578947368
"Beauty Schools of America-Miami",135771,18224,18169,18953,0.7445,9500,105.469475,0.33682266,0.713761521,14300,0.201604813,0.944954128440367
"Beauty Schools of America-North Miami Beach",450182,19615,19560,20192,0.7642,9500,105.469475,0.33682266,0.706932673,14300,0.201604813,0.932584269662921
"Bellus Academy-National City",109934,21160,20810,21798,0.8571,16772.5,186.2091336,0.430921053,0.705227746,14800,0.241610736,0.80952380952381
"Benes International School of Beauty",137591,16875,15936,17235,0.7885,7666,85.1083153,0.298245614,0.744282121,18700,0.207100585,0.509615384615385
"Bennett Career Institute",439473,6959,6703,7238,0.5455,8054.5,89.42146173,0.290540541,0.680663025,19200,0.371428579,0.7734375
"BJ's Beauty & Barber College",236018,5816,5603,5603,0.8095,4961.5,55.08282108,0.436170213,0.773446875,17100,0.275362313,0.894736842105263
