"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Cortiva Institute-Seattle",419411,21220,20077,20874,0.8,7917,87.89492985,0.838862559,0.901785714,26800,0.457746476,0.376623376623377
"Cortiva Institute-Tucson",104504,19534,16994,19575,0.8421,7875,87.42864375,0.696113074,0.854886275,21800,0.374045789,0.195652173913043
"Cosmetology Career Center LLC",224156,19862,19117,19087,0.7895,13310,147.7682855,0.607329843,0.719555402,23400,0.472636819,0.511111111111111
"Cosmetology Career Institute",434502,12496,12089,13899,0.5692,16500,183.183825,0.216374269,0.538097143,16300,0.182692304,0.797979797979798
"Cosmetology Training Center",407142,8963,7338,6126,0.8333,7100.5,78.83010603,0.788888889,0.801975248,14100,0.161764711,0.52
"Coyne College",144485,20156,19822,20705,0.6639,9500,105.469475,0.395597065,0.673787164,36400,0.553718984,0.770491803278688
"Creative Images Institute of Cosmetology-North Dayton",434830,10734,10146,10048,0.8163,10067,111.7643374,0.623229462,0.638769604,16600,0.279620856,0.571428571428571
"Creative Images Institute of Cosmetology-South Dayton",444051,10715,10033,11625,0.7059,10067,111.7643374,0.623229462,0.763853769,16600,0.279620856,0.75
"Crimson Technical College",413680,20609,20230,21784,0.6621,23861,264.9060151,0.610441767,0.619352941,41700,0.671506345,0.797202797202797
"Dallas Nursing Institute",437732,23705,23300,24203,0.5636,19125,212.3267063,0.69581749,0.594528733,19700,0.617647052,0.654545454545455
"DCI Career Institute",406413,15672,15414,16512,0.8,9500,105.469475,0.516717325,0.807541956,24600,0.30660376,0.8
"Delmarva Beauty Academy",162335,17840,16769,15968,0.7,13200,146.54706,0.515789474,0.869545652,18700,0.214285716,0.619047619047619
"Delta College Inc",402563,15592,15083,15717,0.7097,4916,54.5776778,0.608695652,0.621076682,20300,0.32780084,0.755813953488372
"Delta College of Arts & Technology",366270,14985,14899,15378,0.5636,5500,61.061275,0.527363184,0.631521273,24900,0.435185194,0.859060402684564
"Delta Technical College",447023,20826,20436,20806,0.9212,9500,105.469475,0.474501109,0.738284517,32700,0.421052635,0.727272727272727
"Divers Institute of Technology",235088,31936,30711,32436,0.0806,9500,105.469475,0.77383592,0.940869504,47100,0.696969688,0.561111111111111
"Dorsey Business Schools-Madison Heights",169734,25297,25349,24567,0.7333,11250,124.8980625,0.379503323,0.763656364,22800,0.312757194,0.933333333333333
"Dorsey Business Schools-Roseville",250744,22832,22575,24441,0.3226,11250,124.8980625,0.379503323,0.500018919,22800,0.312757194,0.862068965517241
"Dorsey Business Schools-Roseville Culinary Academy",455558,25224,25179,25689,0.5385,11250,124.8980625,0.379503323,0.499985714,22800,0.312757194,0.911764705882353
"Dorsey Business Schools-Southgate",169761,24606,24550,25604,0.5357,11250,124.8980625,0.379503323,0.629638889,22800,0.312757194,0.947368421052632
"Douglas J Aveda Institute",261436,19030,18867,18682,0.8491,9833,109.1664577,0.778597786,0.796385538,23100,0.419354826,0.597014925373134
"Eastwick College-Hackensack",183488,21670,20855,19987,0.7253,9500,105.469475,0.6108742,0.656118512,29400,0.569999993,0.397590361445783
"Educators of Beauty College of Cosmetology-Rockford",260965,9729,9818,6714,1,10800,119.90214,0.507772021,0.607153571,14600,0.228260875,0.866666666666667
"Educators of Beauty College of Cosmetology-Sterling",149204,11189,10867,10011,0.8333,10800,119.90214,0.507772021,0.711837288,14600,0.228260875,0.705882352941177
"Elaine Steven Beauty College",177287,11585,11397,11883,0.4706,9833,109.1664577,0.269058296,0.562915894,14700,0.202797204,0.911392405063291
"Empire Beauty School-Arlington Heights",450623,14680,13047,12940,0.7059,10029,111.3424595,0.566091954,0.573930435,21900,0.301587313,0.555555555555556
"Empire Beauty School-Aurora",447175,13025,11973,12993,0.6829,9522,105.7137201,0.473684211,0.368447368,19300,0.363636374,0.641509433962264
"Empire Beauty School-Avondale",447148,11998,10946,11681,0.6757,11096,123.1883468,0.364471669,0.565218972,18100,0.285714298,0.603603603603604
"Empire Beauty School-Bloomfield",368230,14093,13851,14578,0.6222,9083,100.8399202,0.454248366,0.457513208,16800,0.239583328,0.794117647058823
"Empire Beauty School-Bloomington",174978,12049,11342,11689,0.8065,11096,123.1883468,0.364471669,0.687495,23200,0.466911763,0.761904761904762
"Empire Beauty School-Bordentown",430218,14200,13587,13382,0.8235,10029,111.3424595,0.566091954,0.522950459,21200,0.291866034,0.64
"Empire Beauty School-Boston",164845,14205,13421,13871,0.6989,9833,109.1664577,0.424688562,0.561612603,19400,0.295145631,0.731481481481482
"Empire Beauty School-Center City Philadelphia",375984,15560,15307,16589,0.4086,9833,109.1664577,0.424688562,0.4383891,16900,0.238207549,0.888888888888889
"Empire Beauty School-Chandler",104443,12513,11812,12454,0.6429,8167,90.67044235,0.541509434,0.593117241,16900,0.308743179,0.625
"Empire Beauty School-Chenoweth",157614,11434,11445,10590,0.5714,8167,90.67044235,0.541509434,0.387738776,19300,0.390532553,0.590909090909091
"Empire Beauty School-Cherry Hill",184816,13923,13571,14638,0.697,8275,91.86946375,0.669099757,0.406645228,16500,0.312000006,0.847826086956522
"Empire Beauty School-Cincinnati",407470,13535,13379,13511,0.55,12425,137.9429713,0.775700935,0.850575862,22500,0.358024687,0.860759493670886
"Empire Beauty School-Dixie",157669,12096,11844,13983,0.7826,8275,91.86946375,0.669099757,0.390740397,14800,0.224137932,0.882352941176471
"Empire Beauty School-Dunwoody",417381,13879,13630,15096,0.6667,8167,90.67044235,0.541509434,0.507458209,16100,0.274193555,0.924528301886792
"Empire Beauty School-Eden Prairie",453570,11846,9494,9447,0.7917,11096,123.1883468,0.364471669,0.625033929,23200,0.466911763,0.413793103448276
"Empire Beauty School-Elizabethtown",157650,12055,11010,12105,0.4722,9522,105.7137201,0.473684211,0.341473171,13400,0.204301074,0.610169491525424
"Empire Beauty School-Exton",212683,13961,12644,13539,0.6667,9046.5,100.4346953,0.386120996,0.554617647,19900,0.386861324,0.516129032258065
"Empire Beauty School-Flagstaff",104434,12798,11825,15011,0.7308,8167,90.67044235,0.541509434,0.500002174,16900,0.308743179,0.756756756756757
"Empire Beauty School-Florence",157678,11300,10403,11468,0.766,9083,100.8399202,0.454248366,0.499986957,14900,0.252100855,0.647058823529412
"Empire Beauty School-Framingham",443678,15284,14042,15548,0.8529,10029,111.3424595,0.566091954,0.669729358,25600,0.341059595,0.571428571428571
"Empire Beauty School-Green Bay",407735,13319,12746,13202,0.5862,11096,123.1883468,0.364471669,0.399999412,13800,0.242165238,0.790322580645161
"Empire Beauty School-Gwinnett",212337,13990,13670,14445,0.5938,11096,123.1883468,0.364471669,0.515614063,17700,0.267857134,0.813953488372093
"Empire Beauty School-Hanover",415039,13941,13011,14509,0.78,10029,111.3424595,0.566091954,0.619042857,20400,0.192307696,0.705882352941177
"Empire Beauty School-Harrisburg",212382,14265,13546,14157,0.6122,9833,109.1664577,0.424688562,0.6167,22400,0.313953489,0.654320987654321
"Empire Beauty School-Hooksett",450641,11063,9908,12379,0.75,11374,126.2747167,0.560509554,0.569629114,18700,0.22147651,0.666666666666667
"Empire Beauty School-Hurstborne",248305,12413,12001,11853,0.76,8275,91.86946375,0.669099757,0.387996721,16000,0.25,0.787234042553192
"Empire Beauty School-Hyannis",381635,14568,13149,13861,0.9286,9833,109.1664577,0.424688562,0.772343902,19400,0.295145631,0.552631578947368
"Empire Beauty School-Indianapolis",151652,13243,12871,13507,0.6383,8275,91.86946375,0.669099757,0.589887097,18900,0.314685315,0.695652173913043
"Empire Beauty School-Jersey City",185730,15236,14782,16342,0.6538,8275,91.86946375,0.669099757,0.513307965,17900,0.212500006,0.80952380952381
"Empire Beauty School-Kennesaw",440101,14369,13774,15254,0.7917,11096,123.1883468,0.364471669,0.63527,17700,0.267857134,0.789473684210526
"Empire Beauty School-Laconia",182704,12112,11984,11976,0.8182,11374,126.2747167,0.560509554,0.637682609,18700,0.22147651,0.791666666666667
"Empire Beauty School-Lakewood",126854,13059,12684,13299,0.619,9046.5,100.4346953,0.386120996,0.4341,24000,0.327868849,0.758620689655172
"Empire Beauty School-Lancaster",212276,13772,12783,13436,0.7714,9046.5,100.4346953,0.386120996,0.582323529,19700,0.291139245,0.708333333333333
"Empire Beauty School-Lauderhill",456126,14601,13897,15405,0.8511,9046.5,100.4346953,0.386120996,0.85,19700,0.291139245,0.692307692307692
"Empire Beauty School-Laurel Springs",212708,14984,14259,15003,0.7,10029,111.3424595,0.566091954,0.554558182,21200,0.291866034,0.738461538461539
"Empire Beauty School-Lehigh Valley",212328,14270,13885,15300,0.8056,9046.5,100.4346953,0.386120996,0.621089474,20400,0.301837265,0.84
"Empire Beauty School-Lisle",450580,14594,13145,12930,0.8125,8167,90.67044235,0.541509434,0.532592391,17700,0.238466993,0.454545454545455
"Empire Beauty School-Lowell",367130,13925,12495,14563,0.8621,10029,111.3424595,0.566091954,0.752986747,20700,0.345454544,0.666666666666667
"Empire Beauty School-Maine",161493,13109,12193,13317,0.7059,9083,100.8399202,0.454248366,0.53013125,15500,0.222222224,0.717105263157895
"Empire Beauty School-Malden",407179,14408,13861,14140,0.7419,8167,90.67044235,0.541509434,0.58256055,18500,0.297297299,0.763636363636364
"Empire Beauty School-Manhattan",195067,15012,14405,15664,0.6316,9522,105.7137201,0.473684211,0.5642125,16900,0.275743693,0.785467128027682
"Empire Beauty School-Manitowoc",246594,11755,10917,11917,0.6522,9522,105.7137201,0.473684211,0.496332847,16700,0.183856502,0.704545454545455
"Empire Beauty School-Michigan",169284,12750,11877,11776,0.6857,9833,109.1664577,0.424688562,0.533210788,16400,0.234210521,0.6
"Empire Beauty School-Midlothian",444282,14130,13631,14497,0.6739,8167,90.67044235,0.541509434,0.5333,21200,0.311023623,0.8
"Empire Beauty School-Milwaukee",448798,14066,14108,13608,0.6,11096,123.1883468,0.364471669,0.328325301,13800,0.242165238,0.916666666666667
"Empire Beauty School-Monroeville",430227,14488,13847,14165,0.8065,9046.5,100.4346953,0.386120996,0.486659333,17400,0.221910119,0.684210526315789
"Empire Beauty School-NE Philadelphia",212753,15160,14249,15873,0.7033,10029,111.3424595,0.566091954,0.592774661,21900,0.301587313,0.720720720720721
"Empire Beauty School-North Hills",450605,13494,13095,14003,0.6667,9833,109.1664577,0.424688562,0.526321053,17900,0.295880139,0.775
"Empire Beauty School-NW Phoenix",106111,12996,12341,13945,0.6579,9083,100.8399202,0.454248366,0.346169231,19200,0.275641024,0.782051282051282
"Empire Beauty School-Ocean",184144,14439,13269,12315,0.7568,9083,100.8399202,0.454248366,0.713330769,16800,0.239583328,0.684210526315789
"Empire Beauty School-Owings Mills",444291,14446,13961,14514,0.5577,9046.5,100.4346953,0.386120996,0.521747826,20400,0.301837265,0.72
"Empire Beauty School-Portsmouth",450757,11212,9826,12429,0.5,9833,109.1664577,0.49044586,0.539488158,18400,0.290969908,0.5
"Empire Beauty School-Pottsville",212300,12931,12017,13164,0.6957,11096,123.1883468,0.364471669,0.635133784,17700,0.267857134,0.702702702702703
"Empire Beauty School-Prescott",262299,12853,12506,12385,0.9375,8167,90.67044235,0.541509434,0.666670732,16900,0.308743179,0.763157894736842
"Empire Beauty School-Providence",217095,14058,13736,12821,0.7895,9833,109.1664577,0.424688562,0.530327273,21100,0.275167793,0.849056603773585
"Empire Beauty School-Queens",190239,15027,14436,14726,0.6731,8275,91.86946375,0.669099757,0.695458848,15000,0.235602096,0.767123287671233
"Empire Beauty School-Reading",212391,14961,14084,15520,0.7333,8167,90.67044235,0.541509434,0.534736111,21200,0.311023623,0.730769230769231
"Empire Beauty School-Richmond",450599,14116,13526,15173,0.5882,8167,90.67044235,0.541509434,0.291668981,18600,0.290322572,0.788461538461538
"Empire Beauty School-Shamokin Dam",212294,13487,12012,13791,0.9,9046.5,100.4346953,0.386120996,0.767454651,18300,0.202380955,0.576923076923077
"Empire Beauty School-Somersworth",182722,10842,10861,10248,0.5882,9833,109.1664577,0.49044586,0.626704,18400,0.290969908,0.96969696969697
"Empire Beauty School-Spring Lake Park",456135,10956,10316,11918,0.6923,9083,100.8399202,0.454248366,0.7143,23300,0.439393938,0.725
"Empire Beauty School-Thornton",128337,12892,11459,13220,0.8,8275,91.86946375,0.669099757,0.464882703,19900,0.365217388,0.555555555555556
"Empire Beauty School-Tucson",103741,13660,13018,13876,0.7273,9046.5,100.4346953,0.386120996,0.532135321,16400,0.322147638,0.732558139534884
"Empire Beauty School-Union",184506,15344,14698,16727,0.5152,9083,100.8399202,0.454248366,0.587630928,21400,0.398305088,0.796296296296296
"Empire Beauty School-Warminster",212373,14459,13392,13408,0.76,8275,91.86946375,0.669099757,0.615388889,23100,0.304878056,0.620689655172414
"Empire Beauty School-Warwick",217581,15094,13227,13165,0.8571,11096,123.1883468,0.364471669,0.655157759,18700,0.312849164,0.380952380952381
"Empire Beauty School-West Mifflin",444307,14212,12822,14790,0.85,9046.5,100.4346953,0.386120996,0.516915254,17400,0.221910119,0.604166666666667
"Empire Beauty School-Wyoming Valley",212355,14052,13065,13945,0.7237,8167,90.67044235,0.541509434,0.665139535,17700,0.238466993,0.673913043478261
"Empire Beauty School-York",212267,14627,13525,15038,0.7429,8167,90.67044235,0.541509434,0.479271889,18600,0.290322572,0.698412698412698
"ETI School of Skilled Trades",244613,18814,17631,21090,0.7535,9500,105.469475,0.612944162,0.817829237,37900,0.59636873,0.658119658119658
"ETI Technical College",200590,10425,9868,12468,0.5333,14250,158.2042125,0.442771084,0.493187671,24900,0.273170739,0.785714285714286
"Euphoria Institute of Beauty Arts & Sciences-Green Valley",450739,15932,15021,14983,1,9504,105.5138832,0.390612133,0.758627586,27500,0.41397205,0.574468085106383
"Euphoria Institute of Beauty Arts & Sciences-Summerlin",450720,14323,13153,14882,0.75,9504,105.5138832,0.390612133,0.541634211,27500,0.41397205,0.634920634920635
"Everest College-Aurora",366544,21943,21247,22632,0.6279,9500,105.469475,0.298241329,0.576324942,26400,0.42726022,0.731707317073171
"Everest College-Bremerton",234739,21313,20650,21090,0.8571,9500,105.469475,0.43024245,0.668875098,29700,0.469184905,0.666666666666667
"Everest College-Burr Ridge",442736,25232,24470,24666,0.7742,9500,105.469475,0.446296296,0.697270997,23000,0.453059077,0.754098360655738
"Everest College-Chesapeake",438647,20209,19858,20099,0.5748,9500,105.469475,0.210248681,0.656466207,23000,0.303949237,0.808080808080808
"Everest College-Colorado Springs",126401,19916,19096,18982,0.7059,9500,105.469475,0.334682861,0.53577991,24700,0.428930819,0.787878787878788
"Everest College-Dallas",442790,25489,25229,25727,0.4602,9500,105.469475,0.283499898,0.418720481,24900,0.425673038,0.864864864864865
"Everest College-Everett",363590,18605,17389,17485,0.7708,9500,105.469475,0.43024245,0.753150631,29700,0.469184905,0.48936170212766
"Everest College-Fort Worth",445197,21011,20095,20685,0.6078,9500,105.469475,0.32592909,0.625274157,23900,0.377035141,0.676470588235294
"Everest College-Henderson",182148,22455,21348,21572,0.6974,11833,131.3705577,0.24813154,0.589226279,24800,0.453315288,0.537037037037037
"Everest College-McLean",445470,23976,23477,24234,0.75,9500,105.469475,0.334682861,0.556980674,24700,0.428930819,0.777777777777778
"Everest College-Newport News",232502,18779,18498,18547,0.5135,9500,105.469475,0.210248681,0.596129572,23000,0.303949237,0.833333333333333
"Everest College-Portland",210359,22236,21615,21744,0.2632,9500,105.469475,0.283499898,0.356732448,24900,0.425673038,0.727272727272727
"Everest College-Renton",234784,21984,21312,22342,0.593,9500,105.469475,0.313240326,0.669920173,28600,0.462647438,0.717105263157895
"Everest College-Seattle",236531,19866,19109,18958,0.8421,9500,105.469475,0.575178998,0.695428032,26100,0.416573346,0.642857142857143
"Everest College-Skokie",171313,24885,24890,24552,0.7245,9500,105.469475,0.446296296,0.701813908,23000,0.453059077,0.807692307692308
"Everest College-Tacoma",444024,20747,20181,21661,0.7059,9500,105.469475,0.43024245,0.66665784,29700,0.469184905,0.702127659574468
"Everest College-Thornton",127787,19139,18939,19684,0.7015,9500,105.469475,0.298241329,0.548255727,26400,0.42726022,0.893617021276596
"Everest College-Vancouver",236993,21748,20944,21831,0.697,9500,105.469475,0.283499898,0.616801134,24900,0.425673038,0.67741935483871
"Everest Institute-Austin",442727,23751,23166,24145,0.772,9500,105.469475,0.246345531,0.704068157,21200,0.30776757,0.767164179104478
"Everest Institute-Bissonnet",445461,22420,22170,22924,0.6011,9500,105.469475,0.313240326,0.637099584,28600,0.462647438,0.879781420765027
"Everest Institute-Dearborn",440369,25387,25088,25602,0.5738,9500,105.469475,0.246345531,0.640908091,21200,0.30776757,0.851485148514851
"Everest Institute-Detroit",444237,21011,20892,21679,0.6458,9500,105.469475,0.246345531,0.615036022,21200,0.30776757,0.914285714285714
"Everest Institute-Grand Rapids",170046,24554,24184,25186,0.75,9500,105.469475,0.390535067,0.667962998,22900,0.341946304,0.794392523364486
"Everest Institute-Greenspoint",438656,21358,21052,21769,0.7125,9500,105.469475,0.198014969,0.620482559,23700,0.360325724,0.820652173913043
"Everest Institute-Hobby",441016,20445,20193,20669,0.7273,9500,105.469475,0.198014969,0.662390013,23700,0.360325724,0.856031128404669
"Everest Institute-Pittsburgh",212090,18000,17799,18516,0.4872,9500,105.469475,0.186320755,0.496871726,18100,0.285333335,0.894736842105263
"Everest Institute-San Antonio",227003,21868,21600,21881,0.6449,9500,105.469475,0.198014969,0.593275018,23700,0.360325724,0.834224598930481
"Everest Institute-South Plainfield",449269,19816,19322,19880,0.689,9500,105.469475,0.246345531,0.591004069,21200,0.30776757,0.755555555555556
"Everest Institute-Southfield",171322,23179,22122,24222,0.7407,9500,105.469475,0.246345531,0.660836835,21200,0.30776757,0.714285714285714
"Everest Institute-Tigard",442620,22872,22448,23485,0.725,9500,105.469475,0.575178998,0.753163544,26100,0.416573346,0.783783783783784
"Exposito School of Hair Design",224758,10699,9605,10050,0.6429,4510,50.0702455,0.441558442,0.5208625,16600,0.24242425,0.473684210526316
"Faust Institute of Cosmetology-Storm Lake",153339,6956,5426,5878,0.8182,12000,133.2246,0.5625,0.744695745,15600,0.145454541,0.454545454545455
"Fayetteville College of Cosmetology Arts and Sciences",220163,14807,14527,16490,0.6098,6275,69.66536375,0.379746835,0.730767308,16700,0.238095239,0.857142857142857
"Federico Beauty Institute",114460,17151,16330,15445,0.8571,9429,104.6812295,0.67816092,0.798531343,21000,0.365957439,0.564102564102564
"First Institute Inc",145099,12328,12044,11487,0.7794,8560,95.033548,0.596899225,0.92338046,37200,0.482758611,0.765217391304348
"Florida College of Natural Health-Maitland",438285,19435,18135,19959,0.789,8107,90.00431935,0.562694301,0.630585521,24300,0.406847924,0.35678391959799
"Florida College of Natural Health-Miami",420103,19655,19077,19426,0.5333,8107,90.00431935,0.562694301,0.650604054,24300,0.406847924,0.566176470588235
"Florida College of Natural Health-Pompano Beach",387925,19240,18154,19770,0.4706,8107,90.00431935,0.562694301,0.617409932,24300,0.406847924,0.412587412587413
"Fort Worth Beauty School",224828,9762,9378,10029,0.791,7477.5,83.01557888,0.348258706,0.507,17000,0.236363634,0.818181818181818
"Fortis College-Cincinnati",450067,26916,26027,26749,0.6094,12868,142.8611794,0.455983954,0.625604265,27500,0.459480137,0.575757575757576
"Fortis College-Columbia",460020,15610,15468,15795,0.6066,12868,142.8611794,0.455983954,0.7111,27500,0.459480137,0.737704918032787
"Fortis College-Columbus",450058,17667,17362,17077,0.5573,12868,142.8611794,0.455983954,0.714871562,27500,0.459480137,0.736434108527132
"Fortis College-Dothan",455460,11980,11889,12710,0.7045,10362,115.0394421,0.424942263,0.536976986,20800,0.236842111,0.889705882352941
"Fortis College-Foley",436641,14064,13830,13545,0.5769,10362,115.0394421,0.424942263,0.685557642,20800,0.236842111,0.813664596273292
"Fortis College-Landover",451909,20456,19652,20677,0.6571,13795,153.1527798,0.382090412,0.768706854,25800,0.444444448,0.728571428571429
"Fortis College-Mobile",371052,10808,10664,10672,0.3704,11692,129.8051686,0.354645814,0.529374678,20400,0.240789473,0.888888888888889
"Fortis College-Montgomery",455488,23480,23115,24270,0.5714,11692,129.8051686,0.354645814,0.543450935,20400,0.240789473,0.836065573770492
"Fortis College-Montgomery",455488,23480,23115,24270,0.5714,11692,129.8051686,0.354645814,0.543450935,20400,0.240789473,1
"Fortis College-Norfolk",233329,41134,40973,42236,0.5313,10666.5,118.4200163,0.360792492,0.615349072,25600,0.416071415,0.90625
"Fortis College-Orange Park",439792,18674,17354,19546,0.625,11833,131.3705577,0.409628378,0.66357853,23500,0.379897773,0.608695652173913
"Fortis College-Phoenix",456180,20063,19286,18778,0.7368,24250,269.2247125,0.365742499,0.630572778,25200,0.578255653,0.736842105263158
"Fortis College-Ravenna",201399,19440,18442,23541,0.6375,10666.5,118.4200163,0.360792492,0.607682976,22100,0.362416118,0.82051282051282
"Fortis College-Richmond",382957,19689,19193,19067,0.5444,10666.5,118.4200163,0.360792492,0.636780167,25600,0.416071415,0.710843373493976
"Fortis College-Smyrna",372921,21815,21360,22430,0.5339,12868,142.8611794,0.455983954,0.623374555,27500,0.459480137,0.8
"Fortis College-Winter Park",132806,27342,27385,26444,0.7857,13875,154.0409438,0.38722966,0.515947893,20900,0.336585373,0.846153846153846
"Fortis Institute-Baltimore",450076,21346,21038,16668,0.4362,6976,77.4479008,0.2442421,0.547648524,32900,0.55477649,0.646666666666667
"Fortis Institute-Birmingham",455628,45330,45281,45194,0.4638,13795,153.1527798,0.382090412,0.5187,25800,0.444444448,0.878787878787879
"Fortis Institute-Cookeville",418870,23304,22707,22964,0.65,9500,105.469475,0.477781605,0.583044,23200,0.436151087,0.764705882352941
"Fortis Institute-Forty Fort",249609,17893,16603,17340,0.7143,9500,105.469475,0.495198903,0.611194589,22800,0.296803653,0.612244897959184
"Fortis Institute-Miami",445753,9691,9573,9953,0.6667,9500,105.469475,0.477781605,0.636685444,23200,0.436151087,0.619047619047619
"Fortis Institute-Mulberry",250498,28056,25842,26504,0.6923,9906.5,109.9824583,0.501754386,0.562855738,23600,0.363157898,0.317073170731707
"Fortis Institute-Pensacola",455479,10542,9987,10420,0.5699,11692,129.8051686,0.354645814,0.644263043,20400,0.240789473,0.685393258426966
"Fortis Institute-Towson",163347,17574,17347,17862,0.512,12868,142.8611794,0.455983954,0.586627884,27500,0.459480137,0.843137254901961
"Fortis Institute-Wayne",183725,21132,20471,20380,0.7634,9628,106.8905374,0.619553666,0.776171743,31000,0.518279552,0.549618320610687
"Fox Institute of Business-Clifton",184092,19005,18947,19047,0.6379,12340,136.999297,0.440589766,0.532742947,29200,0.426666677,0.845528455284553
"Fox Institute of Business-West Hartford",129482,13764,13528,14711,0.6222,12340,136.999297,0.440589766,0.523282796,29200,0.426666677,0.872881355932203
"Franklin Academy",404718,11087,11079,11194,0.8438,5484.5,60.88919323,0.537735849,0.423050962,17000,0.236559138,0.928571428571429
"G Skin & Beauty Institute",407090,20895,20910,20759,0.9333,7917,87.89492985,0.71641791,0.845372165,22400,0.379999995,0.9
"Gene Juarez Academy of Beauty-Federal Way",407708,13801,12342,12354,0.7213,11228,124.6538174,0.618079096,0.595900885,26500,0.448453605,0.55
"Gene Juarez Academy of Beauty-Mountlake Terrace",235583,13768,11130,12071,0.7742,11228,124.6538174,0.618079096,0.6653,26500,0.448453605,0.402597402597403
"Georgia Institute of Cosmetology",408862,13670,13413,13670,0.8361,15207,168.8288744,0.371980676,0.860473784,16900,0.171945706,0.502564102564103
"Gill-Tech Academy of Hair Design",238786,10444,7926,12171,0.84,9552.5,106.0523326,0.651515152,0.844,19900,0.25,0.481481481481481
"Glen Dow Academy of Hair Design",235307,12175,12006,11862,0.72,5225,58.00821125,0.661087866,0.860586058,18200,0.313186824,0.88
"Glendale Career College",115010,17305,16704,16763,0.7727,11542.5,128.1454121,0.655440415,0.839972842,27800,0.532731354,0.635593220338983
"Great Lakes Institute of Technology",213181,11556,11020,10662,0.788,11095,123.1772448,0.541755889,0.737437601,20200,0.329650104,0.647058823529412
"Gwinnett College-Sandy Springs",425250,16166,15037,16667,0.6818,10375,115.1837688,0.502512563,0.6279712,25900,0.338624328,0.636363636363636
"Hair Academy Inc-New Carrollton",163541,14455,14094,14701,0.5106,10673.5,118.4977307,0.268328446,0.514305519,16900,0.273927391,0.623931623931624
"Hair Dynamics Education Center",127228,13335,12493,13870,0.6452,12000,133.2246,0.684647303,0.604632558,16300,0.362903237,0.64
"Hair Fashions By Kaye Beauty College-Indianapolis",150710,16449,16425,16825,0.7143,16500,183.183825,0.167741935,0.679984571,16700,0.266666681,0.94047619047619
"Hair Fashions By Kaye Beauty College-Noblesville",150695,10996,10425,11378,0.7059,9500,105.469475,0.574468085,0.775527551,21400,0.327433616,0.65625
"Hair Professionals Career College",367981,21084,20123,24448,0.4,9500,105.469475,0.579617834,0.583325,17300,0.3125,1
"Hair Professionals Career College",367981,21084,20123,24448,0.4,9500,105.469475,0.579617834,0.583325,17300,0.3125,0.777777777777778
"Hair Professionals School of Cosmetology",145433,20972,20139,22163,0.3333,13833,153.5746577,0.625,0.640006,16200,0.24509804,0.588235294117647
"Hairmasters Institute of Cosmetology",367051,8459,8249,9136,0.9,15234.5,169.1341807,0.425,0.96155,20100,0.25555557,0.777777777777778
"Hallmark Institute of Photography",166009,73183,69644,70896,0.8966,5500,61.061275,0.868644068,0.902065541,27000,0.41438356,0.305555555555556
"Harris School of Business-Cherry Hill Campus",184870,26489,26272,27562,0.7647,8534,94.7448947,0.415492958,0.542791341,27900,0.395999998,0.877551020408163
"Harris School of Business-Dover Campus",444200,24649,24413,24490,0.5702,7917,87.89492985,0.342408377,0.575278584,22800,0.410090566,0.850498338870432
"Harris School of Business-Hamilton Campus",453552,25992,25661,25939,0.6769,8534,94.7448947,0.415492958,0.576345197,27900,0.395999998,0.791907514450867
"Harris School of Business-Linwood Campus",448983,25436,25205,25523,0.767,8534,94.7448947,0.415492958,0.541126849,27900,0.395999998,0.826923076923077
"Harris School of Business-Voorhees Campus",185332,20241,19754,20736,0.6701,7917,87.89492985,0.342408377,0.557406667,22800,0.410090566,0.769230769230769
"Hawaii Institute of Hair Design",141608,11715,11254,12127,0.7778,5906,65.5687073,0.726415094,0.681466667,14400,0.243243247,0.795454545454545
"Headlines Academy Inc",219125,10550,10008,10369,0.6522,10000,111.0205,0.703703704,0.8,16700,0.25,0.75
"Headquarters Academy of Hair Design Inc",200129,8113,7171,8369,0.9167,14973.5,166.2365457,0.413333333,0.4706,13100,0.197183102,0.727272727272727
"Henris School of Hair Design",166063,10578,9160,9492,0.625,5500,61.061275,0.536585366,0.627915116,20200,0.208333328,0.578947368421053
"Heritage College-Little Rock",456339,16926,16850,17323,0.6129,15333,170.2277327,0.3126703,0.6753,20100,0.368613124,0.895604395604396
"Heritage College-Wichita",456320,17458,17444,17596,0.7011,13583,150.7991452,0.37335137,0.6177,24200,0.411172152,0.80952380952381
"Hobart Institute of Welding Technology",203146,22853,21380,22465,0.9298,6264.5,69.54879223,0.752442997,0.933684909,47000,0.7564767,0.440298507462687
"Hohokus School-RETS Nutley",185721,20097,19793,20253,0.8282,9500,105.469475,0.531319911,0.80318883,36600,0.530026138,0.605095541401274
"Hunter Business School",191728,15407,15084,15159,0.8017,6816,75.6715728,0.657018813,0.788525198,25900,0.502145946,0.890380313199105
"ICDC College",437662,23870,23731,23966,0.6674,9500,105.469475,0.239787234,0.718182355,20800,0.307785153,0.868303571428571
"Illinois Center for Broadcasting",419253,14573,13163,16360,0.8269,9500,105.469475,0.676954733,0.832130657,29400,0.520618558,0.575342465753425
"Independence College of Cosmetology",177603,10673,9633,10817,0.9167,9715,107.8564158,0.52173913,0.570567485,20300,0.271428585,0.666666666666667
